t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,turns
983,0.0,187,0,51,128,1481,0
1817,0.0,3908,0,51,128,1481,0
3064,0.0,3908,0,51,128,1481,0
4307,0.0,3908,0,51,128,1481,0
5542,0.0,3909,0,51,128,1480,0
6816,0.0,3908,0,51,128,1482,0
8063,0.0,3908,0,51,128,1482,0
9306,0.0,3908,0,51,128,1482,0
10542,0.0,3908,0,51,128,1483,0
11816,0.0,3908,0,51,128,1480,0
13063,0.0,3909,0,51,128,1482,0
14306,0.0,3908,0,51,128,1482,0
15542,0.0,3908,0,51,128,1481,0
16816,0.0,3908,0,51,128,1481,0
18063,0.0,3909,0,51,128,1482,0
19306,0.0,3909,0,51,128,1481,0
20542,0.0,3908,0,51,128,1481,0
21816,0.0,3908,0,51,128,1482,0
23063,0.0,3908,0,51,128,1481,0
24306,0.0,3908,0,51,128,1482,0
25542,0.0,3909,0,51,128,1482,0
26816,0.0,3908,0,51,128,1482,0
28063,0.0,3908,0,51,128,1483,0
29306,0.0,3909,0,51,128,1482,0
30542,0.0,3908,0,51,128,1481,0
31816,0.0,3909,0,51,128,1482,0
33063,0.0,3908,0,51,128,1481,0
34306,0.0,3908,0,51,128,1483,0
35542,0.0,3908,0,51,128,1481,0
36816,0.0,3909,0,51,128,1481,0
38063,0.0,3908,0,51,128,1481,0
39306,0.0,3909,0,51,128,1481,0
40542,0.0,3908,0,51,128,1481,0
41816,0.0,3908,0,51,128,1481,0
43063,0.0,3909,0,51,128,1482,0
44306,0.0,3908,0,51,128,1481,0
45542,0.0,3908,0,51,128,1483,0
46816,0.0,3908,0,51,128,1482,0
48063,0.0,3908,0,51,128,1482,0
49306,0.0,3908,0,51,128,1482,0
50542,0.0,3908,0,51,128,1481,0
51816,0.0,3909,0,51,128,1481,0
53063,0.0,3908,0,51,128,1481,0
54306,0.0,3908,0,51,128,1481,0
55542,0.0,3909,0,51,128,1481,0
56816,0.0,3908,0,51,128,1481,0
58063,0.0,3909,0,51,128,1482,0
59306,0.0,3909,0,51,128,1481,0
60542,0.0,3908,0,51,128,1481,0
61816,0.0,3909,0,51,128,1481,0
63063,0.0,3908,0,51,128,1482,0
64306,0.0,3908,0,51,128,1482,0
65542,0.0,3908,0,51,128,1481,0
66816,0.0,3908,0,51,128,1481,0
68063,0.0,3908,0,51,128,1480,0
69306,0.0,3908,0,51,128,1481,0
