t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
461,0.0,2556,0,51,128,65535,2,status_raw_agc,2
1705,-0.110025,2555,0,51,128,65535,2,status_raw_agc,2
2940,-0.220049,1543,0,51,128,65535,2,status_raw_agc,2
4194,-0.330074,1545,0,51,128,65535,2,status_raw_agc,2
5461,-0.440098,1544,0,51,128,65535,2,status_raw_agc,2
6705,-0.550123,1541,0,51,128,65535,2,status_raw_agc,2
7941,-0.660147,1538,0,51,128,65535,2,status_raw_agc,2
9194,-0.770172,1534,0,51,128,65535,2,status_raw_agc,2
10461,-0.880196,1530,0,51,128,65535,2,status_raw_agc,2
11705,-0.990221,1526,0,51,128,65535,2,status_raw_agc,2
12940,-1.100245,1520,0,51,128,65535,2,status_raw_agc,2
14194,-1.21027,1514,0,51,128,65535,2,status_raw_agc,2
15461,-1.320294,1509,0,51,128,65535,2,status_raw_agc,2
16705,-1.430319,1504,0,51,128,65535,2,status_raw_agc,2
17941,-1.540343,1499,0,51,128,65535,2,status_raw_agc,2
19194,-1.650367,1494,0,51,128,65535,2,status_raw_agc,2
20461,-1.760392,1489,0,51,128,65535,2,status_raw_agc,2
21705,-1.870416,1485,0,51,128,65535,2,status_raw_agc,2
22940,-1.980441,1482,0,51,128,65535,2,status_raw_agc,2
24194,-2.090465,1476,0,51,128,65535,2,status_raw_agc,2
25461,-2.20049,1472,0,51,128,65535,2,status_raw_agc,2
26705,-2.310514,1466,0,51,128,65535,2,status_raw_agc,2
27946,-2.420539,1461,0,51,128,65535,2,status_raw_agc,2
29194,-2.530563,1455,0,51,128,65535,2,status_raw_agc,2
30461,-2.640588,1450,0,51,128,65535,2,status_raw_agc,2
31705,-2.750612,1444,0,51,128,65535,2,status_raw_agc,2
32940,-2.860636,1438,0,51,128,65535,2,status_raw_agc,2
34194,-2.970661,1433,0,51,128,65535,2,status_raw_agc,2
35461,-3.080685,1428,0,51,128,65535,2,status_raw_agc,2
36705,-3.19071,1422,0,51,128,65535,2,status_raw_agc,2
37940,-3.300734,1416,0,51,128,65535,2,status_raw_agc,2
39194,-3.410759,1410,0,51,128,65535,2,status_raw_agc,2
40467,-3.520783,1405,0,51,128,65535,2,status_raw_agc,2
41711,-3.630808,1399,0,51,128,65535,2,status_raw_agc,2
42941,-3.740832,1393,0,51,128,65535,2,status_raw_agc,2
44201,-3.850857,1388,0,51,128,65535,2,status_raw_agc,2
45460,-3.960881,1383,0,51,128,65535,2,status_raw_agc,2
46705,-4.070906,1378,0,51,128,65535,2,status_raw_agc,2
47940,-4.18093,1374,0,51,128,65535,2,status_raw_agc,2
49194,-4.290955,1368,0,51,128,65535,2,status_raw_agc,2
50460,-4.400979,1363,0,51,128,65535,2,status_raw_agc,2
51711,-4.511003,1358,0,51,128,65535,2,status_raw_agc,2
52940,-4.621028,1352,0,51,128,65535,2,status_raw_agc,2
54193,-4.731052,1348,0,51,128,65535,2,status_raw_agc,2
55460,-4.841077,1343,0,51,128,65535,2,status_raw_agc,2
56704,-4.951101,1339,0,51,128,65535,2,status_raw_agc,2
57940,-5.061126,1335,0,51,128,65535,2,status_raw_agc,2
59194,-5.17115,1331,0,51,128,65535,2,status_raw_agc,2
60461,-5.281175,1325,0,51,128,65535,2,status_raw_agc,2
61711,-5.391199,1320,0,51,128,65535,2,status_raw_agc,2
62945,-5.501224,1314,0,51,128,65535,2,status_raw_agc,2
64199,-5.611248,1309,0,51,128,65535,2,status_raw_agc,2
65460,-5.721272,1304,0,51,128,65535,2,status_raw_agc,2
66704,-5.831297,1298,0,51,128,65535,2,status_raw_agc,2
67945,-5.941321,1293,0,51,128,65535,2,status_raw_agc,2
