mode,mode_label,samples,sensor_error_count,count_raw_0,count_raw_4095,naive_spike_count,wrap_spike_count,wrap_step_max
0,raw_only,1600,0,41,19,268,260,2044
1,status_raw,1600,0,33,10,139,124,2025
2,status_raw_agc,1600,0,1,0,3,1,255
3,status_raw_agc_mag,1600,0,1,0,3,1,257
