t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
589,0.0,2505,0,255,255,65535,0,raw_only,2
1661,-0.110025,2506,0,255,255,65535,0,raw_only,2
2805,-0.220049,2509,0,255,255,65535,0,raw_only,2
4059,-0.330074,2512,0,255,255,65535,0,raw_only,2
5313,-0.440098,2516,0,255,255,65535,0,raw_only,2
6561,-0.550123,2521,0,255,255,65535,0,raw_only,2
7805,-0.660147,2526,0,255,255,65535,0,raw_only,2
9055,-0.770172,2531,0,255,255,65535,0,raw_only,2
10325,-0.880196,2536,0,255,255,65535,0,raw_only,2
11561,-0.990221,2541,0,255,255,65535,0,raw_only,2
12805,-1.100245,2548,0,255,255,65535,0,raw_only,2
14055,-1.21027,2554,0,255,255,65535,0,raw_only,2
15325,-1.320294,2560,0,255,255,65535,0,raw_only,2
16555,-1.430319,1529,0,255,255,65535,0,raw_only,2
17805,-1.540343,2570,0,255,255,65535,0,raw_only,2
19055,-1.650367,2047,0,255,255,65535,0,raw_only,2
20325,-1.760392,1516,0,255,255,65535,0,raw_only,2
21555,-1.870416,2585,0,255,255,65535,0,raw_only,2
22805,-1.980441,2588,0,255,255,65535,0,raw_only,2
24061,-2.090465,2593,0,255,255,65535,0,raw_only,2
25325,-2.20049,2598,0,255,255,65535,0,raw_only,2
26555,-2.310514,2603,0,255,255,65535,0,raw_only,2
27812,-2.420539,2606,0,255,255,65535,0,raw_only,2
29068,-2.530563,2610,0,255,255,65535,0,raw_only,2
30325,-2.640588,2614,0,255,255,65535,0,raw_only,2
31567,-2.750612,2618,0,255,255,65535,0,raw_only,2
32805,-2.860636,2623,0,255,255,65535,0,raw_only,2
34055,-2.970661,2627,0,255,255,65535,0,raw_only,2
35325,-3.080685,2632,0,255,255,65535,0,raw_only,2
36561,-3.19071,2048,0,255,255,65535,0,raw_only,2
37805,-3.300734,2048,0,255,255,65535,0,raw_only,2
39055,-3.410759,2047,0,255,255,65535,0,raw_only,2
40326,-3.520783,1444,0,255,255,65535,0,raw_only,2
41555,-3.630808,2656,0,255,255,65535,0,raw_only,2
42805,-3.740832,2661,0,255,255,65535,0,raw_only,2
44055,-3.850857,2666,0,255,255,65535,0,raw_only,2
45314,-3.960881,2672,0,255,255,65535,0,raw_only,2
46554,-4.070906,2677,0,255,255,65535,0,raw_only,2
47805,-4.18093,2684,0,255,255,65535,0,raw_only,2
49055,-4.290955,2689,0,255,255,65535,0,raw_only,2
50325,-4.400979,2695,0,255,255,65535,0,raw_only,2
51561,-4.511003,2702,0,255,255,65535,0,raw_only,2
52805,-4.621028,2708,0,255,255,65535,0,raw_only,2
54054,-4.731052,2713,0,255,255,65535,0,raw_only,2
55325,-4.841077,2719,0,255,255,65535,0,raw_only,2
56554,-4.951101,1370,0,255,255,65535,0,raw_only,2
57805,-5.061126,2731,0,255,255,65535,0,raw_only,2
59055,-5.17115,2047,0,255,255,65535,0,raw_only,2
60325,-5.281175,2047,0,255,255,65535,0,raw_only,2
61555,-5.391199,2047,0,255,255,65535,0,raw_only,2
62804,-5.501224,2047,0,255,255,65535,0,raw_only,2
64060,-5.611248,2758,0,255,255,65535,0,raw_only,2
65324,-5.721272,2761,0,255,255,65535,0,raw_only,2
66566,-5.831297,2766,0,255,255,65535,0,raw_only,2
67804,-5.941321,2770,0,255,255,65535,0,raw_only,2
69066,-6.051346,2776,0,255,255,65535,0,raw_only,2
70324,-6.16137,2780,0,255,255,65535,0,raw_only,2
71554,-6.271395,2785,0,255,255,65535,0,raw_only,2
72838,-6.381419,2047,0,255,255,65535,0,raw_only,2
74057,-6.491444,2795,0,255,255,65535,0,raw_only,2
75330,-6.601468,2047,0,255,255,65535,0,raw_only,2
76557,-6.711493,1290,0,255,255,65535,0,raw_only,2
77814,-6.821517,2047,0,255,255,65535,0,raw_only,2
79057,-6.931541,1282,0,255,255,65535,0,raw_only,2
80315,-7.041566,2048,0,255,255,65535,0,raw_only,2
81557,-7.15159,2822,0,255,255,65535,0,raw_only,2
82814,-7.261615,2047,0,255,255,65535,0,raw_only,2
84057,-7.371639,2832,0,255,255,65535,0,raw_only,2
85315,-7.481664,2047,0,255,255,65535,0,raw_only,2
86563,-7.591688,2843,0,255,255,65535,0,raw_only,2
87814,-7.701713,2850,0,255,255,65535,0,raw_only,2
89063,-7.811737,2854,0,255,255,65535,0,raw_only,2
90315,-7.921762,2860,0,255,255,65535,0,raw_only,2
91557,-8.031786,2866,0,255,255,65535,0,raw_only,2
92814,-8.14181,2872,0,255,255,65535,0,raw_only,2
94057,-8.251835,2877,0,255,255,65535,0,raw_only,2
95315,-8.361859,2883,0,255,255,65535,0,raw_only,2
96557,-8.471884,2047,0,255,255,65535,0,raw_only,2
97814,-8.581908,2048,0,255,255,65535,0,raw_only,2
99057,-8.691933,1194,0,255,255,65535,0,raw_only,2
100315,-8.801957,2906,0,255,255,65535,0,raw_only,2
101557,-8.911982,2047,0,255,255,65535,0,raw_only,2
102814,-9.022006,2048,0,255,255,65535,0,raw_only,2
104057,-9.13203,2047,0,255,255,65535,0,raw_only,2
105315,-9.242055,2927,0,255,255,65535,0,raw_only,2
106563,-9.352079,2047,0,255,255,65535,0,raw_only,2
107814,-9.462104,2937,0,255,255,65535,0,raw_only,2
109057,-9.572128,2047,0,255,255,65535,0,raw_only,2
110315,-9.682153,2947,0,255,255,65535,0,raw_only,2
111563,-9.792177,2048,0,255,255,65535,0,raw_only,2
112815,-9.902202,2956,0,255,255,65535,0,raw_only,2
114057,-10.012226,2961,0,255,255,65535,0,raw_only,2
115315,-10.122251,2966,0,255,255,65535,0,raw_only,2
116556,-10.232275,2047,0,255,255,65535,0,raw_only,2
117814,-10.342299,2048,0,255,255,65535,0,raw_only,2
119057,-10.452324,1116,0,255,255,65535,0,raw_only,2
120314,-10.562348,2047,0,255,255,65535,0,raw_only,2
121557,-10.672373,2048,0,255,255,65535,0,raw_only,2
122814,-10.782397,1101,0,255,255,65535,0,raw_only,2
124057,-10.892422,2998,0,255,255,65535,0,raw_only,2
125314,-11.002446,2047,0,255,255,65535,0,raw_only,2
126557,-11.112471,3008,0,255,255,65535,0,raw_only,2
127814,-11.222495,3014,0,255,255,65535,0,raw_only,2
129063,-11.33252,3019,0,255,255,65535,0,raw_only,2
130314,-11.442544,3024,0,255,255,65535,0,raw_only,2
131556,-11.552568,3029,0,255,255,65535,0,raw_only,2
132814,-11.662593,3035,0,255,255,65535,0,raw_only,2
134057,-11.772617,3041,0,255,255,65535,0,raw_only,2
135314,-11.882642,2048,0,255,255,65535,0,raw_only,2
136556,-11.992666,3052,0,255,255,65535,0,raw_only,2
137813,-12.102691,2047,0,255,255,65535,0,raw_only,2
139056,-12.212715,1032,0,255,255,65535,0,raw_only,2
140314,-12.32274,3069,0,255,255,65535,0,raw_only,2
141562,-12.432764,0,0,255,255,65535,0,raw_only,2
142813,-12.542789,3080,0,255,255,65535,0,raw_only,2
144057,-12.652813,4095,0,255,255,65535,0,raw_only,2
145321,-12.762837,3092,0,255,255,65535,0,raw_only,2
146557,-12.872862,3097,0,255,255,65535,0,raw_only,2
147814,-12.982886,3102,0,255,255,65535,0,raw_only,2
149057,-13.092911,3107,0,255,255,65535,0,raw_only,2
150315,-13.202935,3111,0,255,255,65535,0,raw_only,2
151557,-13.31296,3117,0,255,255,65535,0,raw_only,2
152814,-13.422984,3122,0,255,255,65535,0,raw_only,2
154057,-13.533009,3126,0,255,255,65535,0,raw_only,2
155315,-13.643033,964,0,255,255,65535,0,raw_only,2
156557,-13.753057,3136,0,255,255,65535,0,raw_only,2
157814,-13.863082,0,0,255,255,65535,0,raw_only,2
159057,-13.973106,949,0,255,255,65535,0,raw_only,2
160315,-14.083131,3149,0,255,255,65535,0,raw_only,2
161557,-14.193155,0,0,255,255,65535,0,raw_only,2
162814,-14.30318,0,0,255,255,65535,0,raw_only,2
164057,-14.413204,3162,0,255,255,65535,0,raw_only,2
165315,-14.523229,0,0,255,255,65535,0,raw_only,2
166557,-14.633253,3171,0,255,255,65535,0,raw_only,2
167814,-14.743278,3176,0,255,255,65535,0,raw_only,2
169057,-14.853302,3181,0,255,255,65535,0,raw_only,2
170315,-14.963326,3187,0,255,255,65535,0,raw_only,2
171557,-15.073351,3192,0,255,255,65535,0,raw_only,2
172820,-15.183375,4095,0,255,255,65535,0,raw_only,2
174057,-15.2934,3202,0,255,255,65535,0,raw_only,2
175315,-15.403424,4095,0,255,255,65535,0,raw_only,2
176557,-15.513449,3214,0,255,255,65535,0,raw_only,2
177814,-15.623473,876,0,255,255,65535,0,raw_only,2
179057,-15.733498,870,0,255,255,65535,0,raw_only,2
180315,-15.843522,0,0,255,255,65535,0,raw_only,2
181557,-15.953547,858,0,255,255,65535,0,raw_only,2
182814,-16.063572,3243,0,255,255,65535,0,raw_only,2
184057,-16.173597,3249,0,255,255,65535,0,raw_only,2
185315,-16.283623,3255,0,255,255,65535,0,raw_only,2
186563,-16.393648,3261,0,255,255,65535,0,raw_only,2
187814,-16.503674,3266,0,255,255,65535,0,raw_only,2
189057,-16.613699,4095,0,255,255,65535,0,raw_only,2
190314,-16.723724,3277,0,255,255,65535,0,raw_only,2
191569,-16.83375,4095,0,255,255,65535,0,raw_only,2
192814,-16.943775,3287,0,255,255,65535,0,raw_only,2
194057,-17.053801,4095,0,255,255,65535,0,raw_only,2
195314,-17.163826,799,0,255,255,65535,0,raw_only,2
196557,-17.273851,4095,0,255,255,65535,0,raw_only,2
197814,-17.383877,791,0,255,255,65535,0,raw_only,2
199057,-17.493902,786,0,255,255,65535,0,raw_only,2
200314,-17.603928,0,0,255,255,65535,0,raw_only,2
201557,-17.713953,0,0,255,255,65535,0,raw_only,2
202814,-17.823978,3321,0,255,255,65535,0,raw_only,2
204057,-17.934004,3325,0,255,255,65535,0,raw_only,2
205314,-18.044029,3329,0,255,255,65535,0,raw_only,2
