t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
279,0.0,2556,0,51,255,65535,1,status_raw,2
1539,-0.110025,2555,0,51,255,65535,1,status_raw,2
2785,-0.220049,2552,0,51,255,65535,1,status_raw,2
4043,-0.330074,2551,0,51,255,65535,1,status_raw,2
5285,-0.440098,2047,0,51,255,65535,1,status_raw,2
6539,-0.550123,1541,0,51,255,65535,1,status_raw,2
7786,-0.660147,1538,0,51,255,65535,1,status_raw,2
9043,-0.770172,1534,0,51,255,65535,1,status_raw,2
10291,-0.880196,1530,0,51,255,65535,1,status_raw,2
11539,-0.990221,1526,0,51,255,65535,1,status_raw,2
12785,-1.100245,2575,0,51,255,65535,1,status_raw,2
14043,-1.21027,2047,0,51,255,65535,1,status_raw,2
15285,-1.320294,2585,0,51,255,65535,1,status_raw,2
16539,-1.430319,2048,0,51,255,65535,1,status_raw,2
17785,-1.540343,2596,0,51,255,65535,1,status_raw,2
19050,-1.650367,2601,0,51,255,65535,1,status_raw,2
20285,-1.760392,2606,0,51,255,65535,1,status_raw,2
21546,-1.870416,2610,0,51,255,65535,1,status_raw,2
22785,-1.980441,2614,0,51,255,65535,1,status_raw,2
24043,-2.090465,2618,0,51,255,65535,1,status_raw,2
25285,-2.20049,1471,0,51,255,65535,1,status_raw,2
26539,-2.310514,1466,0,51,255,65535,1,status_raw,2
27792,-2.420539,1461,0,51,255,65535,1,status_raw,2
29043,-2.530563,1455,0,51,255,65535,1,status_raw,2
30285,-2.640588,1450,0,51,255,65535,1,status_raw,2
31539,-2.750612,1444,0,51,255,65535,1,status_raw,2
32785,-2.860636,2048,0,51,255,65535,1,status_raw,2
34043,-2.970661,2662,0,51,255,65535,1,status_raw,2
35285,-3.080685,2668,0,51,255,65535,1,status_raw,2
36545,-3.19071,2672,0,51,255,65535,1,status_raw,2
37785,-3.300734,2047,0,51,255,65535,1,status_raw,2
39050,-3.410759,2684,0,51,255,65535,1,status_raw,2
40285,-3.520783,2691,0,51,255,65535,1,status_raw,2
41539,-3.630808,2696,0,51,255,65535,1,status_raw,2
42785,-3.740832,2048,0,51,255,65535,1,status_raw,2
44043,-3.850857,1388,0,51,255,65535,1,status_raw,2
45285,-3.960881,1384,0,51,255,65535,1,status_raw,2
46539,-4.070906,1378,0,51,255,65535,1,status_raw,2
47791,-4.18093,1373,0,51,255,65535,1,status_raw,2
49043,-4.290955,1368,0,51,255,65535,1,status_raw,2
50285,-4.400979,1363,0,51,255,65535,1,status_raw,2
51539,-4.511003,1358,0,51,255,65535,1,status_raw,2
52785,-4.621028,1353,0,51,255,65535,1,status_raw,2
54043,-4.731052,2747,0,51,255,65535,1,status_raw,2
55285,-4.841077,2752,0,51,255,65535,1,status_raw,2
56539,-4.951101,2756,0,51,255,65535,1,status_raw,2
57785,-5.061126,2760,0,51,255,65535,1,status_raw,2
59043,-5.17115,2764,0,51,255,65535,1,status_raw,2
60285,-5.281175,2769,0,51,255,65535,1,status_raw,2
61539,-5.391199,2775,0,51,255,65535,1,status_raw,2
62784,-5.501224,1315,0,51,255,65535,1,status_raw,2
64037,-5.611248,1309,0,51,255,65535,1,status_raw,2
65284,-5.721272,1304,0,51,255,65535,1,status_raw,2
66538,-5.831297,1298,0,51,255,65535,1,status_raw,2
67785,-5.941321,1293,0,51,255,65535,1,status_raw,2
69043,-6.051346,1289,0,51,255,65535,1,status_raw,2
70284,-6.16137,1284,0,51,255,65535,1,status_raw,2
71538,-6.271395,1280,0,51,255,65535,1,status_raw,2
72790,-6.381419,2821,0,51,255,65535,1,status_raw,2
74043,-6.491444,2827,0,51,255,65535,1,status_raw,2
75286,-6.601468,2832,0,51,255,65535,1,status_raw,2
76540,-6.711493,2838,0,51,255,65535,1,status_raw,2
77786,-6.821517,2048,0,51,255,65535,1,status_raw,2
79043,-6.931541,2850,0,51,255,65535,1,status_raw,2
80286,-7.041566,2856,0,51,255,65535,1,status_raw,2
81540,-7.15159,2047,0,51,255,65535,1,status_raw,2
82786,-7.261615,2865,0,51,255,65535,1,status_raw,2
84043,-7.371639,1225,0,51,255,65535,1,status_raw,2
85286,-7.481664,1219,0,51,255,65535,1,status_raw,2
86540,-7.591688,1214,0,51,255,65535,1,status_raw,2
87786,-7.701713,1209,0,51,255,65535,1,status_raw,2
89043,-7.811737,1203,0,51,255,65535,1,status_raw,2
90292,-7.921762,1198,0,51,255,65535,1,status_raw,2
91546,-8.031786,1194,0,51,255,65535,1,status_raw,2
92786,-8.14181,2047,0,51,255,65535,1,status_raw,2
94043,-8.251835,2910,0,51,255,65535,1,status_raw,2
95286,-8.361859,2916,0,51,255,65535,1,status_raw,2
96546,-8.471884,2921,0,51,255,65535,1,status_raw,2
97786,-8.581908,2925,0,51,255,65535,1,status_raw,2
99043,-8.691933,2931,0,51,255,65535,1,status_raw,2
100286,-8.801957,2937,0,51,255,65535,1,status_raw,2
101540,-8.911982,2942,0,51,255,65535,1,status_raw,2
102786,-9.022006,1148,0,51,255,65535,1,status_raw,2
104043,-9.13203,1143,0,51,255,65535,1,status_raw,2
105286,-9.242055,1139,0,51,255,65535,1,status_raw,2
106539,-9.352079,1134,0,51,255,65535,1,status_raw,2
107786,-9.462104,1129,0,51,255,65535,1,status_raw,2
109049,-9.572128,1124,0,51,255,65535,1,status_raw,2
110286,-9.682153,1119,0,51,255,65535,1,status_raw,2
111540,-9.792177,1115,0,51,255,65535,1,status_raw,2
112786,-9.902202,2986,0,51,255,65535,1,status_raw,2
114043,-10.012226,2048,0,51,255,65535,1,status_raw,2
115286,-10.122251,2997,0,51,255,65535,1,status_raw,2
116539,-10.232275,3002,0,51,255,65535,1,status_raw,2
117785,-10.342299,3007,0,51,255,65535,1,status_raw,2
119050,-10.452324,3012,0,51,255,65535,1,status_raw,2
120285,-10.562348,3018,0,51,255,65535,1,status_raw,2
121539,-10.672373,2048,0,51,255,65535,1,status_raw,2
122786,-10.782397,2048,0,51,255,65535,1,status_raw,2
124043,-10.892422,1061,0,51,255,65535,1,status_raw,2
125285,-11.002446,1055,0,51,255,65535,1,status_raw,2
126539,-11.112471,1050,0,51,255,65535,1,status_raw,2
127785,-11.222495,1045,0,51,255,65535,1,status_raw,2
129043,-11.33252,1041,0,51,255,65535,1,status_raw,2
130285,-11.442544,1035,0,51,255,65535,1,status_raw,2
131539,-11.552568,1030,0,51,255,65535,1,status_raw,2
132786,-11.662593,1024,0,51,255,65535,1,status_raw,2
134043,-11.772617,3076,0,51,255,65535,1,status_raw,2
135291,-11.882642,3082,0,51,255,65535,1,status_raw,2
136538,-11.992666,0,0,51,255,65535,1,status_raw,2
137785,-12.102691,3093,0,51,255,65535,1,status_raw,2
139043,-12.212715,4095,0,51,255,65535,1,status_raw,2
140285,-12.32274,3101,0,51,255,65535,1,status_raw,2
141538,-12.432764,3106,0,51,255,65535,1,status_raw,2
142785,-12.542789,984,0,51,255,65535,1,status_raw,2
144043,-12.652813,979,0,51,255,65535,1,status_raw,2
145286,-12.762837,974,0,51,255,65535,1,status_raw,2
146540,-12.872862,968,0,51,255,65535,1,status_raw,2
147786,-12.982886,964,0,51,255,65535,1,status_raw,2
