t_us,openloop_el_angle_rad,sensor_raw,sensor_error
302699,-13.313005,797,0
303948,-13.368018,3294,0
305198,-13.423031,804,0
306448,-13.478044,4095,0
307699,-13.533056,4095,0
308948,-13.588069,813,0
310198,-13.643082,816,0
311448,-13.698094,819,0
312699,-13.753107,821,0
313948,-13.80812,824,0
315211,-13.863132,827,0
316448,-13.918145,830,0
317699,-13.973158,4095,0
318948,-14.028171,836,0
320212,-14.083183,3256,0
321448,-14.138196,4095,0
322699,-14.193209,0,0
323948,-14.248221,3247,0
325198,-14.303234,4095,0
326448,-14.358247,854,0
327699,-14.41326,4095,0
328954,-14.468272,858,0
330198,-14.523285,860,0
331448,-14.578298,862,0
332699,-14.63331,864,0
333948,-14.688323,865,0
335198,-14.743336,868,0
336448,-14.798348,870,0
337699,-14.853361,0,0
338948,-14.908374,876,0
340198,-14.963387,0,0
341448,-15.018399,0,0
342699,-15.073412,4095,0
343948,-15.128425,3210,0
345198,-15.183437,887,0
346448,-15.23845,889,0
347699,-15.293463,892,0
348948,-15.348475,895,0
350198,-15.403488,899,0
351448,-15.458501,902,0
352699,-15.513514,904,0
353948,-15.568526,906,0
355198,-15.623539,908,0
356454,-15.678552,910,0
357705,-15.733564,911,0
358948,-15.788577,913,0
360198,-15.84359,3180,0
361448,-15.898602,3178,0
362699,-15.953615,0,0
363948,-16.008627,3173,0
365198,-16.063639,0,0
366448,-16.11865,926,0
367699,-16.173662,929,0
368948,-16.228674,931,0
370198,-16.283686,933,0
371448,-16.338697,936,0
372699,-16.393709,938,0
373948,-16.448721,940,0
375197,-16.503733,943,0
376447,-16.558744,947,0
377699,-16.613756,950,0
378947,-16.668768,953,0
380212,-16.72378,4095,0
381447,-16.778791,3137,0
382699,-16.833803,0,0
383947,-16.888815,3132,0
385197,-16.943827,0,0
386447,-16.998838,968,0
387699,-17.05385,971,0
388947,-17.108862,975,0
390197,-17.163874,977,0
391447,-17.218885,980,0
392699,-17.273897,983,0
393947,-17.328909,986,0
395211,-17.383921,990,0
396447,-17.438932,993,0
397699,-17.493944,997,0
398947,-17.548956,4095,0
400212,-17.603968,0,0
401448,-17.658979,3090,0
402705,-17.713991,0,0
403947,-17.769003,0,0
405197,-17.824015,3083,0
