t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
159368,-13.973106,3583,0,51,128,1477,1,2
160629,-14.083131,3576,0,51,128,1478,1,2
161866,-14.193155,3572,0,51,128,1476,1,2
163104,-14.30318,3566,0,51,128,1478,1,2
164368,-14.413204,3561,0,51,128,1478,1,2
165629,-14.523229,3556,0,51,128,1477,1,2
166872,-14.633253,3551,0,51,128,1477,1,2
168104,-14.743278,3546,0,51,128,1476,1,2
169368,-14.853302,3541,0,51,128,1478,1,2
170629,-14.963326,3536,0,51,128,1477,1,2
171872,-15.073351,3532,0,51,128,1478,1,2
173104,-15.183375,3527,0,51,128,1478,1,2
174374,-15.2934,3524,0,51,128,1478,1,2
175629,-15.403424,3520,0,51,128,1477,1,2
176866,-15.513449,3515,0,51,128,1477,1,2
178104,-15.623473,3512,0,51,128,1478,1,2
179374,-15.733498,3508,0,51,128,1478,1,2
180629,-15.843522,3503,0,51,128,1477,1,2
181866,-15.953547,3498,0,51,128,1479,1,2
183104,-16.063572,3494,0,51,128,1477,1,2
184368,-16.173597,3488,0,51,128,1477,1,2
185636,-16.283623,3483,0,51,128,1478,1,2
186866,-16.393648,3477,0,51,128,1476,1,2
188104,-16.503674,3472,0,51,128,1479,1,2
189362,-16.613699,3466,0,51,128,1479,1,2
190628,-16.723724,3461,0,51,128,1479,1,2
191866,-16.83375,3455,0,51,128,1478,1,2
193104,-16.943775,3449,0,51,128,1477,1,2
194374,-17.053801,3443,0,51,128,1479,1,2
195628,-17.163826,3436,0,51,128,1479,1,2
196866,-17.273851,3430,0,51,128,1479,1,2
198104,-17.383877,3424,0,51,128,1479,1,2
199368,-17.493902,3419,0,51,128,1479,1,2
200629,-17.603928,3412,0,51,128,1481,1,2
201873,-17.713953,3407,0,51,128,1479,1,2
203103,-17.823978,3401,0,51,128,1480,1,2
204362,-17.934004,3396,0,51,128,1479,1,2
205628,-18.044029,3390,0,51,128,1478,1,2
206865,-18.154055,3385,0,51,128,1479,1,2
208103,-18.26408,3381,0,51,128,1478,1,2
209361,-18.374105,3377,0,51,128,1479,1,2
210626,-18.484131,3372,0,51,128,1480,1,2
211865,-18.594156,3368,0,51,128,1480,1,2
213109,-18.704182,3363,0,51,128,1479,1,2
214373,-18.814207,3358,0,51,128,1478,1,2
215629,-18.924232,3353,0,51,128,1479,1,2
216872,-19.034258,3348,0,51,128,1479,1,2
218104,-19.144283,3343,0,51,128,1480,1,2
219368,-19.254309,3339,0,51,128,1479,1,2
220629,-19.364334,3335,0,51,128,1479,1,2
221866,-19.47436,3330,0,51,128,1479,1,2
223110,-19.584385,3327,0,51,128,1479,1,2
224368,-19.69441,3322,0,51,128,1479,1,2
225629,-19.804436,3317,0,51,128,1480,1,2
226872,-19.914461,3312,0,51,128,1480,1,2
228104,-20.024487,3307,0,51,128,1480,1,2
229368,-20.134512,3301,0,51,128,1481,1,2
230629,-20.244537,3295,0,51,128,1481,1,2
231866,-20.354563,3289,0,51,128,1480,1,2
233104,-20.464588,3284,0,51,128,1480,1,2
234374,-20.574614,3278,0,51,128,1480,1,2
235629,-20.684639,3272,0,51,128,1481,1,2
236866,-20.794664,3267,0,51,128,1480,1,2
238104,-20.90469,3261,0,51,128,1479,1,2
239368,-21.014715,3255,0,51,128,1481,1,2
240629,-21.124741,3249,0,51,128,1480,1,2
241872,-21.234766,3243,0,51,128,1481,1,2
243104,-21.344791,3237,0,51,128,1481,1,2
244374,-21.454817,3232,0,51,128,1481,1,2
245629,-21.564842,3226,0,51,128,1481,1,2
246870,-21.674868,3222,0,51,128,1482,1,2
248104,-21.784893,3216,0,51,128,1480,1,2
249368,-21.894918,3211,0,51,128,1481,1,2
250636,-22.004944,3207,0,51,128,1481,1,2
251866,-22.114969,3202,0,51,128,1481,1,2
253104,-22.224995,3196,0,51,128,1481,1,2
254368,-22.33502,3191,0,51,128,1484,1,2
255629,-22.445045,3186,0,51,128,1481,1,2
256866,-22.555071,3181,0,51,128,1481,1,2
258104,-22.665096,3178,0,51,128,1480,1,2
259368,-22.775122,3172,0,51,128,1483,1,2
260628,-22.885147,3168,0,51,128,1482,1,2
261872,-22.995173,3164,0,51,128,1482,1,2
263103,-23.105198,3160,0,51,128,1482,1,2
264362,-23.215223,3155,0,51,128,1480,1,2
265628,-23.325249,3151,0,51,128,1484,1,2
266866,-23.435274,3145,0,51,128,1482,1,2
268104,-23.5453,3140,0,51,128,1482,1,2
269367,-23.655325,3135,0,51,128,1482,1,2
270626,-23.76535,3130,0,51,128,1481,1,2
271866,-23.875376,3125,0,51,128,1482,1,2
273104,-23.985401,3120,0,51,128,1482,1,2
274374,-24.095427,3114,0,51,128,1483,1,2
275628,-24.205452,3109,0,51,128,1482,1,2
276872,-24.315477,3103,0,51,128,1483,1,2
278109,-24.425503,3097,0,51,128,1484,1,2
279361,-24.535528,3091,0,51,128,1483,1,2
280626,-24.645554,3086,0,51,128,1483,1,2
281866,-24.755579,3081,0,51,128,1484,1,2
283103,-24.865604,3074,0,51,128,1483,1,2
284361,-24.97563,3069,0,51,128,1484,1,2
285626,-25.085655,3063,0,51,128,1484,1,2
286866,-25.195681,3058,0,51,128,1484,1,2
288104,-25.305706,3051,0,51,128,1484,1,2
289368,-25.415731,3046,0,51,128,1483,1,2
290629,-25.525757,3040,0,51,128,1483,1,2
291866,-25.635782,3036,0,51,128,1483,1,2
293104,-25.745808,3031,0,51,128,1485,1,2
294368,-25.855833,3026,0,51,128,1484,1,2
295629,-25.965858,3021,0,51,128,1484,1,2
296866,-26.075884,3016,0,51,128,1484,1,2
298111,-26.185909,3013,0,51,128,1484,1,2
299368,-26.295935,3006,0,51,128,1485,1,2
300629,-26.40596,3003,0,51,128,1484,1,2
301872,-26.515985,2997,0,51,128,1485,1,2
303104,-26.626011,2994,0,51,128,1485,1,2
304368,-26.736036,2989,0,51,128,1483,1,2
305629,-26.846062,2985,0,51,128,1484,1,2
306866,-26.956087,2982,0,51,128,1484,1,2
308104,-27.066113,2977,0,51,128,1485,1,2
309368,-27.176138,2973,0,51,128,1485,1,2
310629,-27.286163,2968,0,51,128,1485,1,2
311866,-27.396189,2963,0,51,128,1485,1,2
313104,-27.506214,2958,0,51,128,1486,1,2
314375,-27.61624,2952,0,51,128,1485,1,2
315629,-27.726265,2946,0,51,128,1484,1,2
316866,-27.83629,2941,0,51,128,1486,1,2
318104,-27.946316,2936,0,51,128,1485,1,2
319368,-28.056341,2931,0,51,128,1485,1,2
320629,-28.166367,2925,0,51,128,1486,1,2
321866,-28.276392,2919,0,51,128,1484,1,2
323104,-28.386417,2913,0,51,128,1486,1,2
324368,-28.496443,2907,0,51,128,1486,1,2
325636,-28.606468,2900,0,51,128,1487,1,2
326866,-28.716494,2895,0,51,128,1486,1,2
328104,-28.826519,2889,0,51,128,1485,1,2
329368,-28.936544,2883,0,51,128,1486,1,2
330629,-29.04657,2877,0,51,128,1487,1,2
331866,-29.156595,2872,0,51,128,1486,1,2
333110,-29.266621,2867,0,51,128,1486,1,2
334368,-29.376646,2861,0,51,128,1487,1,2
335627,-29.486671,2856,0,51,128,1486,1,2
336866,-29.596697,2851,0,51,128,1486,1,2
338103,-29.706722,2846,0,51,128,1487,1,2
339368,-29.816748,2842,0,51,128,1487,1,2
340628,-29.926773,2838,0,51,128,1487,1,2
341866,-30.036798,2833,0,51,128,1486,1,2
343104,-30.146824,2830,0,51,128,1487,1,2
344368,-30.256849,2826,0,51,128,1486,1,2
345636,-30.366875,2822,0,51,128,1487,1,2
346866,-30.4769,2818,0,51,128,1486,1,2
348104,-30.586926,2814,0,51,128,1488,1,2
349367,-30.696951,2809,0,51,128,1487,1,2
350626,-30.806976,2805,0,51,128,1487,1,2
351866,-30.917002,2800,0,51,128,1488,1,2
353103,-31.027027,2795,0,51,128,1487,1,2
354367,-31.137053,2790,0,51,128,1487,1,2
355626,-31.247078,2785,0,51,128,1487,1,2
356879,-31.357103,2781,0,51,128,1489,1,2
358104,-31.467129,2775,0,51,128,1488,1,2
359368,-31.577154,2769,0,51,128,1490,1,2
360629,-31.68718,2762,0,51,128,1489,1,2
361866,-31.797205,2757,0,51,128,1489,1,2
363104,-31.90723,2750,0,51,128,1487,1,2
364374,-32.017254,2745,0,51,128,1486,1,2
365629,-32.127277,2738,0,51,128,1488,1,2
366866,-32.237301,2732,0,51,128,1487,1,2
368104,-32.347324,2726,0,51,128,1488,1,2
369374,-32.457348,2720,0,51,128,1488,1,2
370629,-32.567371,2714,0,51,128,1489,1,2
371866,-32.677395,2708,0,51,128,1489,1,2
373104,-32.787418,2703,0,51,128,1488,1,2
374368,-32.897442,2698,0,51,128,1488,1,2
375629,-33.007465,2693,0,51,128,1489,1,2
376866,-33.117489,2689,0,51,128,1488,1,2
378104,-33.227512,2684,0,51,128,1488,1,2
379368,-33.337536,2680,0,51,128,1488,1,2
380629,-33.447559,2675,0,51,128,1489,1,2
381866,-33.557583,2671,0,51,128,1488,1,2
383104,-33.667606,2666,0,51,128,1489,1,2
384368,-33.77763,2662,0,51,128,1489,1,2
385629,-33.887653,2657,0,51,128,1488,1,2
386866,-33.997677,2654,0,51,128,1490,1,2
388104,-34.1077,2650,0,51,128,1489,1,2
389368,-34.217724,2647,0,51,128,1490,1,2
390629,-34.327747,2643,0,51,128,1490,1,2
391866,-34.437771,2638,0,51,128,1490,1,2
393110,-34.547794,2634,0,51,128,1488,1,2
394368,-34.657818,2629,0,51,128,1488,1,2
395629,-34.767841,2624,0,51,128,1489,1,2
396870,-34.877865,2619,0,51,128,1490,1,2
398104,-34.987888,2612,0,51,128,1489,1,2
399368,-35.097912,2606,0,51,128,1488,1,2
400629,-35.207935,2601,0,51,128,1490,1,2
401866,-35.317959,2595,0,51,128,1489,1,2
403104,-35.427982,2588,0,51,128,1490,1,2
404368,-35.538006,2583,0,51,128,1490,1,2
405628,-35.648029,2577,0,51,128,1488,1,2
406866,-35.758053,2570,0,51,128,1489,1,2
408104,-35.868076,2564,0,51,128,1490,1,2
409374,-35.9781,2557,0,51,128,1490,1,2
410629,-36.088123,2552,0,51,128,1490,1,2
411872,-36.198147,2546,0,51,128,1491,1,2
413103,-36.30817,2541,0,51,128,1489,1,2
414362,-36.418194,2535,0,51,128,1489,1,2
415628,-36.528217,2531,0,51,128,1489,1,2
416866,-36.638241,2526,0,51,128,1490,1,2
418110,-36.748264,2521,0,51,128,1490,1,2
419368,-36.858288,2515,0,51,128,1489,1,2
420626,-36.968311,2511,0,51,128,1491,1,2
421866,-37.078335,2507,0,51,128,1490,1,2
423103,-37.188358,2504,0,51,128,1491,1,2
424361,-37.298382,2500,0,51,128,1491,1,2
425635,-37.408405,2495,0,51,128,1490,1,2
426866,-37.518429,2492,0,51,128,1490,1,2
428103,-37.628452,2488,0,51,128,1490,1,2
429375,-37.738476,2483,0,51,128,1489,1,2
430629,-37.848499,2479,0,51,128,1489,1,2
431879,-37.958523,2475,0,51,128,1491,1,2
433104,-38.068546,2469,0,51,128,1489,1,2
434374,-38.17857,2464,0,51,128,1490,1,2
435629,-38.288593,2459,0,51,128,1491,1,2
436866,-38.398617,2454,0,51,128,1490,1,2
438104,-38.50864,2448,0,51,128,1489,1,2
439375,-38.618664,2444,0,51,128,1489,1,2
440629,-38.728687,2437,0,51,128,1491,1,2
441866,-38.838711,2432,0,51,128,1490,1,2
443110,-38.948734,2426,0,51,128,1489,1,2
444368,-39.058758,2420,0,51,128,1490,1,2
445636,-39.168781,2413,0,51,128,1490,1,2
446866,-39.278805,2408,0,51,128,1490,1,2
448104,-39.388828,2401,0,51,128,1490,1,2
449368,-39.498852,2396,0,51,128,1489,1,2
450629,-39.608875,2390,0,51,128,1490,1,2
451866,-39.718899,2384,0,51,128,1490,1,2
453104,-39.828922,2379,0,51,128,1489,1,2
454368,-39.938946,2373,0,51,128,1491,1,2
455629,-40.048969,2367,0,51,128,1490,1,2
456866,-40.158993,2363,0,51,128,1491,1,2
458111,-40.269016,2359,0,51,128,1489,1,2
459374,-40.37904,2354,0,51,128,1490,1,2
460636,-40.489063,2350,0,51,128,1489,1,2
461866,-40.599087,2345,0,51,128,1490,1,2
463104,-40.70911,2341,0,51,128,1490,1,2
464368,-40.819134,2337,0,51,128,1490,1,2
465629,-40.929157,2332,0,51,128,1490,1,2
466866,-41.039181,2327,0,51,128,1490,1,2
468104,-41.149204,2322,0,51,128,1491,1,2
469368,-41.259228,2318,0,51,128,1490,1,2
470629,-41.369251,2313,0,51,128,1490,1,2
471872,-41.479275,2309,0,51,128,1490,1,2
473104,-41.589298,2305,0,51,128,1489,1,2
474368,-41.699322,2300,0,51,128,1489,1,2
475636,-41.809345,2295,0,51,128,1490,1,2
476866,-41.919369,2290,0,51,128,1491,1,2
478104,-42.029392,2285,0,51,128,1489,1,2
479367,-42.139416,2280,0,51,128,1490,1,2
480626,-42.249439,2274,0,51,128,1489,1,2
481866,-42.359463,2268,0,51,128,1488,1,2
483104,-42.469486,2262,0,51,128,1488,1,2
484368,-42.57951,2257,0,51,128,1490,1,2
485628,-42.689533,2251,0,51,128,1489,1,2
486866,-42.799557,2246,0,51,128,1490,1,2
488103,-42.90958,2240,0,51,128,1490,1,2
489368,-43.019604,2234,0,51,128,1490,1,2
490629,-43.129627,2228,0,51,128,1488,1,2
491865,-43.239651,2223,0,51,128,1488,1,2
493103,-43.349674,2217,0,51,128,1491,1,2
494361,-43.459698,2212,0,51,128,1489,1,2
495626,-43.569721,2206,0,51,128,1489,1,2
496872,-43.679745,2201,0,51,128,1489,1,2
498103,-43.789768,2197,0,51,128,1488,1,2
499361,-43.899792,2191,0,51,128,1488,1,2
500629,-44.009815,2187,0,51,128,1489,1,2
501866,-44.119839,2182,0,51,128,1489,1,2
503104,-44.229862,2176,0,51,128,1488,1,2
504374,-44.339886,2171,0,51,128,1489,1,2
505629,-44.449909,2167,0,51,128,1489,1,2
506866,-44.559933,2162,0,51,128,1490,1,2
508104,-44.669956,2158,0,51,128,1488,1,2
509368,-44.77998,2153,0,51,128,1487,1,2
510629,-44.890003,2149,0,51,128,1489,1,2
511866,-45.000027,2145,0,51,128,1488,1,2
513123,-45.11005,2140,0,51,128,1490,1,2
514368,-45.220074,2136,0,51,128,1488,1,2
515629,-45.330097,2131,0,51,128,1488,1,2
516873,-45.440121,2126,0,51,128,1488,1,2
518104,-45.550144,2121,0,51,128,1489,1,2
519368,-45.660168,2116,0,51,128,1487,1,2
520636,-45.770191,2111,0,51,128,1488,1,2
521866,-45.880215,2106,0,51,128,1488,1,2
523104,-45.990238,2101,0,51,128,1488,1,2
524368,-46.100262,2095,0,51,128,1488,1,2
525629,-46.210285,2090,0,51,128,1487,1,2
526866,-46.320309,2084,0,51,128,1489,1,2
528104,-46.430332,2077,0,51,128,1488,1,2
529375,-46.540356,2072,0,51,128,1487,1,2
530629,-46.650379,2066,0,51,128,1488,1,2
531866,-46.760403,2061,0,51,128,1486,1,2
533104,-46.870426,2055,0,51,128,1487,1,2
534368,-46.98045,2049,0,51,128,1487,1,2
535629,-47.090473,2044,0,51,128,1486,1,2
536866,-47.200497,2037,0,51,128,1487,1,2
538110,-47.31052,2033,0,51,128,1487,1,2
539368,-47.420544,2026,0,51,128,1487,1,2
540629,-47.530567,2022,0,51,128,1487,1,2
541866,-47.640591,2017,0,51,128,1487,1,2
543104,-47.750614,2012,0,51,128,1486,1,2
544368,-47.860638,2007,0,51,128,1488,1,2
545636,-47.970661,2002,0,51,128,1486,1,2
546866,-48.080685,1998,0,51,128,1487,1,2
548104,-48.190708,1993,0,51,128,1486,1,2
549374,-48.300732,1988,0,51,128,1487,1,2
550628,-48.410755,1983,0,51,128,1487,1,2
551866,-48.520779,1979,0,51,128,1484,1,2
553104,-48.630802,1974,0,51,128,1485,1,2
554362,-48.740826,1971,0,51,128,1487,1,2
555628,-48.850849,1967,0,51,128,1484,1,2
556872,-48.960873,1963,0,51,128,1486,1,2
558104,-49.070896,1958,0,51,128,1487,1,2
559368,-49.18092,1953,0,51,128,1485,1,2
560636,-49.290943,1949,0,51,128,1486,1,2
561866,-49.400967,1944,0,51,128,1486,1,2
563103,-49.51099,1939,0,51,128,1486,1,2
564361,-49.621014,1933,0,51,128,1485,1,2
565626,-49.731037,1927,0,51,128,1484,1,2
566871,-49.841061,1922,0,51,128,1485,1,2
568103,-49.951084,1917,0,51,128,1486,1,2
569361,-50.061108,1911,0,51,128,1485,1,2
570632,-50.171131,1905,0,51,128,1485,1,2
571872,-50.281155,1899,0,51,128,1485,1,2
573104,-50.391178,1894,0,51,128,1485,1,2
574368,-50.501202,1887,0,51,128,1484,1,2
575629,-50.611225,1881,0,51,128,1485,1,2
576866,-50.721249,1874,0,51,128,1484,1,2
578111,-50.831272,1869,0,51,128,1484,1,2
579368,-50.941296,1864,0,51,128,1483,1,2
580629,-51.051319,1858,0,51,128,1483,1,2
581866,-51.161343,1852,0,51,128,1484,1,2
583104,-51.271366,1847,0,51,128,1484,1,2
584368,-51.38139,1842,0,51,128,1483,1,2
585629,-51.491413,1837,0,51,128,1483,1,2
586866,-51.601437,1831,0,51,128,1484,1,2
