mode,mode_label,samples,sensor_error_count,count_raw_0,count_raw_4095,naive_spike_count,wrap_spike_count,wrap_step_max
0,raw_only,1600,0,75,23,372,347,2034
1,status_raw,1600,0,88,41,408,380,2044
2,status_raw_agc,1600,0,0,1,3,1,1012
3,status_raw_agc_mag,1600,0,0,1,3,1,1016
