t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
1035,0.0,2505,0,51,128,1478,3,status_raw_agc_mag,2
2250,-0.110025,1590,0,51,128,1478,3,status_raw_agc_mag,2
3489,-0.220049,1586,0,51,128,1476,3,status_raw_agc_mag,2
4743,-0.330074,1582,0,51,128,1476,3,status_raw_agc_mag,2
5985,-0.440098,1577,0,51,128,1478,3,status_raw_agc_mag,2
7233,-0.550123,1573,0,51,128,1478,3,status_raw_agc_mag,2
8488,-0.660147,1568,0,51,128,1478,3,status_raw_agc_mag,2
9750,-0.770172,1563,0,51,128,1477,3,status_raw_agc_mag,2
10988,-0.880196,1558,0,51,128,1477,3,status_raw_agc_mag,2
12239,-0.990221,1552,0,51,128,1477,3,status_raw_agc_mag,2
13489,-1.100245,1546,0,51,128,1477,3,status_raw_agc_mag,2
14750,-1.21027,1540,0,51,128,1476,3,status_raw_agc_mag,2
15988,-1.320294,1534,0,51,128,1477,3,status_raw_agc_mag,2
17233,-1.430319,1529,0,51,128,1479,3,status_raw_agc_mag,2
18485,-1.540343,1524,0,51,128,1478,3,status_raw_agc_mag,2
19750,-1.650367,1519,0,51,128,1478,3,status_raw_agc_mag,2
20988,-1.760392,1515,0,51,128,1477,3,status_raw_agc_mag,2
22233,-1.870416,1510,0,51,128,1478,3,status_raw_agc_mag,2
23485,-1.980441,1506,0,51,128,1480,3,status_raw_agc_mag,2
24750,-2.090465,1501,0,51,128,1476,3,status_raw_agc_mag,2
25985,-2.20049,1496,0,51,128,1478,3,status_raw_agc_mag,2
27241,-2.310514,1492,0,51,128,1477,3,status_raw_agc_mag,2
28485,-2.420539,1487,0,51,128,1478,3,status_raw_agc_mag,2
29750,-2.530563,1483,0,51,128,1478,3,status_raw_agc_mag,2
30988,-2.640588,1479,0,51,128,1478,3,status_raw_agc_mag,2
32239,-2.750612,1476,0,51,128,1477,3,status_raw_agc_mag,2
33485,-2.860636,1471,0,51,128,1478,3,status_raw_agc_mag,2
34750,-2.970661,1467,0,51,128,1478,3,status_raw_agc_mag,2
35986,-3.080685,1463,0,51,128,1478,3,status_raw_agc_mag,2
37239,-3.19071,1459,0,51,128,1477,3,status_raw_agc_mag,2
38485,-3.300734,1454,0,51,128,1479,3,status_raw_agc_mag,2
39746,-3.410759,1449,0,51,128,1476,3,status_raw_agc_mag,2
40988,-3.520783,1443,0,51,128,1478,3,status_raw_agc_mag,2
42233,-3.630808,1438,0,51,128,1477,3,status_raw_agc_mag,2
43485,-3.740832,1434,0,51,128,1478,3,status_raw_agc_mag,2
44746,-3.850857,1429,0,51,128,1478,3,status_raw_agc_mag,2
45986,-3.960881,1423,0,51,128,1477,3,status_raw_agc_mag,2
47232,-4.070906,1416,0,51,128,1477,3,status_raw_agc_mag,2
48485,-4.18093,1411,0,51,128,1476,3,status_raw_agc_mag,2
49742,-4.290955,1405,0,51,128,1478,3,status_raw_agc_mag,2
50984,-4.400979,1399,0,51,128,1477,3,status_raw_agc_mag,2
52239,-4.511003,1392,0,51,128,1477,3,status_raw_agc_mag,2
53484,-4.621028,1387,0,51,128,1477,3,status_raw_agc_mag,2
54750,-4.731052,1380,0,51,128,1476,3,status_raw_agc_mag,2
55986,-4.841077,1375,0,51,128,1477,3,status_raw_agc_mag,2
57245,-4.951101,1369,0,51,128,1478,3,status_raw_agc_mag,2
58484,-5.061126,1363,0,51,128,1478,3,status_raw_agc_mag,2
