t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,turns
603,0.0,187,0,51,128,1481,1
1918,-0.055012,187,0,51,128,1480,1
3101,-0.110025,3907,0,51,128,1481,1
4351,-0.165037,3906,0,51,128,1482,1
5599,-0.220049,3905,0,51,128,1481,1
6830,-0.275061,3903,0,51,128,1481,1
8092,-0.330074,3901,0,51,128,1480,1
9351,-0.385086,3899,0,51,128,1481,1
10592,-0.440098,3897,0,51,128,1479,1
11830,-0.49511,3895,0,51,128,1482,1
13086,-0.550123,3892,0,51,128,1481,1
14350,-0.605135,3889,0,51,128,1481,1
15593,-0.660147,3887,0,51,128,1482,1
16830,-0.715159,3884,0,51,128,1482,1
18086,-0.770172,3881,0,51,128,1482,1
19351,-0.825184,3879,0,51,128,1480,1
20598,-0.880196,3877,0,51,128,1482,1
21830,-0.935208,3876,0,51,128,1480,1
23086,-0.99022,3874,0,51,128,1481,1
24357,-1.045233,3872,0,51,128,1480,1
25592,-1.100245,3871,0,51,128,1481,1
26843,-1.155257,3869,0,51,128,1481,1
28086,-1.210269,3867,0,51,128,1479,1
29350,-1.265282,3864,0,51,128,1480,1
30592,-1.320294,3863,0,51,128,1479,1
31830,-1.375306,3860,0,51,128,1481,1
33101,-1.430318,3858,0,51,128,1480,1
34357,-1.48533,3856,0,51,128,1480,1
35593,-1.540343,3854,0,51,128,1480,1
36830,-1.595355,3852,0,51,128,1480,1
38086,-1.650367,3850,0,51,128,1479,1
39351,-1.705379,3848,0,51,128,1479,1
40598,-1.760392,3845,0,51,128,1479,1
41837,-1.815404,3843,0,51,128,1480,1
43086,-1.870416,3841,0,51,128,1480,1
44357,-1.925428,3837,0,51,128,1479,1
45592,-1.98044,3834,0,51,128,1480,1
46830,-2.035453,3831,0,51,128,1481,1
48086,-2.090465,3829,0,51,128,1480,1
49351,-2.145477,3826,0,51,128,1479,1
50599,-2.20049,3824,0,51,128,1481,1
51830,-2.255502,3821,0,51,128,1480,1
53086,-2.310514,3819,0,51,128,1480,1
54357,-2.365526,3815,0,51,128,1479,1
55592,-2.420538,3813,0,51,128,1481,1
56836,-2.475551,3809,0,51,128,1478,1
58086,-2.530563,3806,0,51,128,1479,1
59351,-2.585575,3802,0,51,128,1480,1
60592,-2.640587,3799,0,51,128,1479,1
61830,-2.6956,3796,0,51,128,1479,1
63086,-2.750612,3792,0,51,128,1479,1
64351,-2.805624,3788,0,51,128,1479,1
65592,-2.860636,3784,0,51,128,1478,1
66837,-2.915648,3781,0,51,128,1479,1
68086,-2.970661,3777,0,51,128,1480,1
69351,-3.025673,3774,0,51,128,1478,1
70592,-3.080685,3772,0,51,128,1478,1
71830,-3.135697,3769,0,51,128,1480,1
73086,-3.19071,3766,0,51,128,1478,1
74350,-3.245722,3763,0,51,128,1479,1
75593,-3.300734,3760,0,51,128,1478,1
76830,-3.355746,3757,0,51,128,1479,1
