t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
621,0.0,2556,0,51,128,1476,3,status_raw_agc_mag,2
1878,-0.110025,1540,0,51,128,1477,3,status_raw_agc_mag,2
3147,-0.220049,1543,0,51,128,1475,3,status_raw_agc_mag,2
4396,-0.330074,1545,0,51,128,1476,3,status_raw_agc_mag,2
5638,-0.440098,1543,0,51,128,1477,3,status_raw_agc_mag,2
6878,-0.550123,1541,0,51,128,1476,3,status_raw_agc_mag,2
8122,-0.660147,1538,0,51,128,1475,3,status_raw_agc_mag,2
9396,-0.770172,1534,0,51,128,1476,3,status_raw_agc_mag,2
10645,-0.880196,1530,0,51,128,1477,3,status_raw_agc_mag,2
11878,-0.990221,1526,0,51,128,1476,3,status_raw_agc_mag,2
13122,-1.100245,1520,0,51,128,1475,3,status_raw_agc_mag,2
14388,-1.21027,1515,0,51,128,1478,3,status_raw_agc_mag,2
15643,-1.320294,1510,0,51,128,1476,3,status_raw_agc_mag,2
16878,-1.430319,1504,0,51,128,1476,3,status_raw_agc_mag,2
18147,-1.540343,1499,0,51,128,1474,3,status_raw_agc_mag,2
19396,-1.650367,1494,0,51,128,1477,3,status_raw_agc_mag,2
20639,-1.760392,1489,0,51,128,1477,3,status_raw_agc_mag,2
21878,-1.870416,1485,0,51,128,1476,3,status_raw_agc_mag,2
23122,-1.980441,1481,0,51,128,1474,3,status_raw_agc_mag,2
24396,-2.090465,1477,0,51,128,1475,3,status_raw_agc_mag,2
25638,-2.20049,1471,0,51,128,1477,3,status_raw_agc_mag,2
26884,-2.310514,1466,0,51,128,1476,3,status_raw_agc_mag,2
28141,-2.420539,1461,0,51,128,1476,3,status_raw_agc_mag,2
29396,-2.530563,1455,0,51,128,1476,3,status_raw_agc_mag,2
30639,-2.640588,1450,0,51,128,1476,3,status_raw_agc_mag,2
31878,-2.750612,1444,0,51,128,1476,3,status_raw_agc_mag,2
33122,-2.860636,1439,0,51,128,1477,3,status_raw_agc_mag,2
34403,-2.970661,1434,0,51,128,1475,3,status_raw_agc_mag,2
35645,-3.080685,1428,0,51,128,1476,3,status_raw_agc_mag,2
36878,-3.19071,1422,0,51,128,1475,3,status_raw_agc_mag,2
38122,-3.300734,1416,0,51,128,1475,3,status_raw_agc_mag,2
39396,-3.410759,1410,0,51,128,1476,3,status_raw_agc_mag,2
40645,-3.520783,1405,0,51,128,1476,3,status_raw_agc_mag,2
41878,-3.630808,1399,0,51,128,1476,3,status_raw_agc_mag,2
43122,-3.740832,1393,0,51,128,1476,3,status_raw_agc_mag,2
44396,-3.850857,1388,0,51,128,1475,3,status_raw_agc_mag,2
45645,-3.960881,1383,0,51,128,1478,3,status_raw_agc_mag,2
46878,-4.070906,1378,0,51,128,1476,3,status_raw_agc_mag,2
48121,-4.18093,1373,0,51,128,1477,3,status_raw_agc_mag,2
49396,-4.290955,1368,0,51,128,1475,3,status_raw_agc_mag,2
50638,-4.400979,1363,0,51,128,1476,3,status_raw_agc_mag,2
51884,-4.511003,1358,0,51,128,1476,3,status_raw_agc_mag,2
53121,-4.621028,1353,0,51,128,1477,3,status_raw_agc_mag,2
54396,-4.731052,1347,0,51,128,1477,3,status_raw_agc_mag,2
55638,-4.841077,1343,0,51,128,1477,3,status_raw_agc_mag,2
56884,-4.951101,1339,0,51,128,1476,3,status_raw_agc_mag,2
58121,-5.061126,1335,0,51,128,1476,3,status_raw_agc_mag,2
59396,-5.17115,1330,0,51,128,1477,3,status_raw_agc_mag,2
60638,-5.281175,1325,0,51,128,1477,3,status_raw_agc_mag,2
61878,-5.391199,1320,0,51,128,1476,3,status_raw_agc_mag,2
63121,-5.501224,1315,0,51,128,1478,3,status_raw_agc_mag,2
64395,-5.611248,1309,0,51,128,1477,3,status_raw_agc_mag,2
65644,-5.721272,1304,0,51,128,1477,3,status_raw_agc_mag,2
66878,-5.831297,1298,0,51,128,1477,3,status_raw_agc_mag,2
68121,-5.941321,1293,0,51,128,1477,3,status_raw_agc_mag,2
69395,-6.051346,1288,0,51,128,1477,3,status_raw_agc_mag,2
70638,-6.16137,1284,0,51,128,1477,3,status_raw_agc_mag,2
71878,-6.271395,1280,0,51,128,1477,3,status_raw_agc_mag,2
73145,-6.381419,1274,0,51,128,1478,3,status_raw_agc_mag,2
74389,-6.491444,1268,0,51,128,1477,3,status_raw_agc_mag,2
75639,-6.601468,1263,0,51,128,1477,3,status_raw_agc_mag,2
76878,-6.711493,1257,0,51,128,1478,3,status_raw_agc_mag,2
78135,-6.821517,1251,0,51,128,1478,3,status_raw_agc_mag,2
79396,-6.931541,1245,0,51,128,1477,3,status_raw_agc_mag,2
80638,-7.041566,1240,0,51,128,1477,3,status_raw_agc_mag,2
81891,-7.15159,1235,0,51,128,1477,3,status_raw_agc_mag,2
83135,-7.261615,1230,0,51,128,1478,3,status_raw_agc_mag,2
84397,-7.371639,1225,0,51,128,1476,3,status_raw_agc_mag,2
85638,-7.481664,1219,0,51,128,1478,3,status_raw_agc_mag,2
86878,-7.591688,1213,0,51,128,1478,3,status_raw_agc_mag,2
88122,-7.701713,1209,0,51,128,1478,3,status_raw_agc_mag,2
89403,-7.811737,1203,0,51,128,1477,3,status_raw_agc_mag,2
90645,-7.921762,1198,0,51,128,1479,3,status_raw_agc_mag,2
91878,-8.031786,1193,0,51,128,1478,3,status_raw_agc_mag,2
93141,-8.14181,1188,0,51,128,1477,3,status_raw_agc_mag,2
94403,-8.251835,1184,0,51,128,1478,3,status_raw_agc_mag,2
95645,-8.361859,1180,0,51,128,1478,3,status_raw_agc_mag,2
