t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
451,0.0,3966,0,51,128,65535,2,status_raw_agc,2
1698,-0.110025,3967,0,51,128,65535,2,status_raw_agc,2
2924,-0.220049,126,0,51,128,65535,2,status_raw_agc,2
4175,-0.330074,123,0,51,128,65535,2,status_raw_agc,2
5425,-0.440098,120,0,51,128,65535,2,status_raw_agc,2
6674,-0.550123,116,0,51,128,65535,2,status_raw_agc,2
7924,-0.660147,112,0,51,128,65535,2,status_raw_agc,2
9182,-0.770172,108,0,51,128,65535,2,status_raw_agc,2
10425,-0.880196,103,0,51,128,65535,2,status_raw_agc,2
11674,-0.990221,98,0,51,128,65535,2,status_raw_agc,2
12924,-1.100245,94,0,51,128,65535,2,status_raw_agc,2
14175,-1.21027,90,0,51,128,65535,2,status_raw_agc,2
15425,-1.320294,85,0,51,128,65535,2,status_raw_agc,2
16674,-1.430319,80,0,51,128,65535,2,status_raw_agc,2
17924,-1.540343,75,0,51,128,65535,2,status_raw_agc,2
19175,-1.650367,70,0,51,128,65535,2,status_raw_agc,2
20431,-1.760392,65,0,51,128,65535,2,status_raw_agc,2
21674,-1.870416,59,0,51,128,65535,2,status_raw_agc,2
22931,-1.980441,54,0,51,128,65535,2,status_raw_agc,2
24175,-2.090465,48,0,51,128,65535,2,status_raw_agc,2
25425,-2.20049,44,0,51,128,65535,2,status_raw_agc,2
26674,-2.310514,37,0,51,128,65535,2,status_raw_agc,2
27930,-2.420539,31,0,51,128,65535,2,status_raw_agc,2
29175,-2.530563,25,0,51,128,65535,2,status_raw_agc,2
30431,-2.640588,20,0,51,128,65535,2,status_raw_agc,2
31674,-2.750612,14,0,51,128,65535,2,status_raw_agc,2
32924,-2.860636,9,0,51,128,65535,2,status_raw_agc,2
34181,-2.970661,3,0,51,128,65535,2,status_raw_agc,2
35425,-3.080685,4094,0,51,128,65535,2,status_raw_agc,2
36674,-3.19071,4087,0,51,128,65535,2,status_raw_agc,2
37924,-3.300734,4082,0,51,128,65535,2,status_raw_agc,2
39175,-3.410759,4076,0,51,128,65535,2,status_raw_agc,2
40425,-3.520783,4071,0,51,128,65535,2,status_raw_agc,2
41675,-3.630808,4065,0,51,128,65535,2,status_raw_agc,2
