t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
704,0.0,3967,0,255,255,65535,0,raw_only,2
1605,-0.110025,3967,0,255,255,65535,0,raw_only,2
2753,-0.220049,3969,0,255,255,65535,0,raw_only,2
4002,-0.330074,3972,0,255,255,65535,0,raw_only,2
5245,-0.440098,3976,0,255,255,65535,0,raw_only,2
6495,-0.550123,3979,0,255,255,65535,0,raw_only,2
7753,-0.660147,3983,0,255,255,65535,0,raw_only,2
9006,-0.770172,3987,0,255,255,65535,0,raw_only,2
10257,-0.880196,3992,0,255,255,65535,0,raw_only,2
11501,-0.990221,3996,0,255,255,65535,0,raw_only,2
12753,-1.100245,4001,0,255,255,65535,0,raw_only,2
13998,-1.21027,4005,0,255,255,65535,0,raw_only,2
15245,-1.320294,4010,0,255,255,65535,0,raw_only,2
16495,-1.430319,4015,0,255,255,65535,0,raw_only,2
17753,-1.540343,4020,0,255,255,65535,0,raw_only,2
18998,-1.650367,4025,0,255,255,65535,0,raw_only,2
20245,-1.760392,4030,0,255,255,65535,0,raw_only,2
21495,-1.870416,4035,0,255,255,65535,0,raw_only,2
22753,-1.980441,4040,0,255,255,65535,0,raw_only,2
23998,-2.090465,4047,0,255,255,65535,0,raw_only,2
25245,-2.20049,4052,0,255,255,65535,0,raw_only,2
26495,-2.310514,4058,0,255,255,65535,0,raw_only,2
27760,-2.420539,4063,0,255,255,65535,0,raw_only,2
28998,-2.530563,4069,0,255,255,65535,0,raw_only,2
30245,-2.640588,4074,0,255,255,65535,0,raw_only,2
31495,-2.750612,4081,0,255,255,65535,0,raw_only,2
32753,-2.860636,4086,0,255,255,65535,0,raw_only,2
34005,-2.970661,4092,0,255,255,65535,0,raw_only,2
35245,-3.080685,1,0,255,255,65535,0,raw_only,2
36495,-3.19071,7,0,255,255,65535,0,raw_only,2
37760,-3.300734,13,0,255,255,65535,0,raw_only,2
38998,-3.410759,19,0,255,255,65535,0,raw_only,2
40245,-3.520783,24,0,255,255,65535,0,raw_only,2
41495,-3.630808,29,0,255,255,65535,0,raw_only,2
42753,-3.740832,34,0,255,255,65535,0,raw_only,2
43998,-3.850857,39,0,255,255,65535,0,raw_only,2
45252,-3.960881,45,0,255,255,65535,0,raw_only,2
46494,-4.070906,49,0,255,255,65535,0,raw_only,2
47765,-4.18093,54,0,255,255,65535,0,raw_only,2
48998,-4.290955,58,0,255,255,65535,0,raw_only,2
50245,-4.400979,63,0,255,255,65535,0,raw_only,2
51494,-4.511003,67,0,255,255,65535,0,raw_only,2
52753,-4.621028,72,0,255,255,65535,0,raw_only,2
54004,-4.731052,76,0,255,255,65535,0,raw_only,2
55245,-4.841077,80,0,255,255,65535,0,raw_only,2
56495,-4.951101,84,0,255,255,65535,0,raw_only,2
57753,-5.061126,88,0,255,255,65535,0,raw_only,2
58998,-5.17115,93,0,255,255,65535,0,raw_only,2
60245,-5.281175,98,0,255,255,65535,0,raw_only,2
61494,-5.391199,103,0,255,255,65535,0,raw_only,2
62748,-5.501224,108,0,255,255,65535,0,raw_only,2
63997,-5.611248,114,0,255,255,65535,0,raw_only,2
65244,-5.721272,119,0,255,255,65535,0,raw_only,2
66494,-5.831297,124,0,255,255,65535,0,raw_only,2
67748,-5.941321,130,0,255,255,65535,0,raw_only,2
68997,-6.051346,135,0,255,255,65535,0,raw_only,2
70244,-6.16137,141,0,255,255,65535,0,raw_only,2
71494,-6.271395,146,0,255,255,65535,0,raw_only,2
72791,-6.381419,152,0,255,255,65535,0,raw_only,2
73999,-6.491444,159,0,255,255,65535,0,raw_only,2
