mode,mode_label,samples,sensor_error_count,count_raw_0,count_raw_4095,naive_spike_count,wrap_spike_count,wrap_step_max
0,raw_only,1600,0,0,1,2,0,10
1,status_raw,1600,0,0,2,2,0,12
2,status_raw_agc,1600,0,0,0,2,0,10
3,status_raw_agc_mag,1600,0,0,0,2,0,7
