turns,samples,spike_count_gt100,spike_rate_pct,sensor_error_count,count_raw_0,count_raw_4095
0,1600,1,0.06253908692933083,0,0,0
1,1600,2,0.12507817385866166,0,1,0
2,1600,3,0.18761726078799248,0,1,0
