t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
308,0.0,3967,0,51,255,65535,1,status_raw,2
1550,-0.110025,3967,0,51,255,65535,1,status_raw,2
2770,-0.220049,3969,0,51,255,65535,1,status_raw,2
4019,-0.330074,3972,0,51,255,65535,1,status_raw,2
5269,-0.440098,3976,0,51,255,65535,1,status_raw,2
6524,-0.550123,3979,0,51,255,65535,1,status_raw,2
7770,-0.660147,3983,0,51,255,65535,1,status_raw,2
9020,-0.770172,4095,0,51,255,65535,1,status_raw,2
10269,-0.880196,3992,0,51,255,65535,1,status_raw,2
11524,-0.990221,99,0,51,255,65535,1,status_raw,2
12769,-1.100245,94,0,51,255,65535,1,status_raw,2
14020,-1.21027,0,0,51,255,65535,1,status_raw,2
15269,-1.320294,86,0,51,255,65535,1,status_raw,2
16524,-1.430319,80,0,51,255,65535,1,status_raw,2
17769,-1.540343,0,0,51,255,65535,1,status_raw,2
19019,-1.650367,70,0,51,255,65535,1,status_raw,2
20269,-1.760392,4031,0,51,255,65535,1,status_raw,2
21531,-1.870416,0,0,51,255,65535,1,status_raw,2
22770,-1.980441,4041,0,51,255,65535,1,status_raw,2
24019,-2.090465,4047,0,51,255,65535,1,status_raw,2
25269,-2.20049,4052,0,51,255,65535,1,status_raw,2
26524,-2.310514,4058,0,51,255,65535,1,status_raw,2
27776,-2.420539,4063,0,51,255,65535,1,status_raw,2
29019,-2.530563,25,0,51,255,65535,1,status_raw,2
30270,-2.640588,0,0,51,255,65535,1,status_raw,2
31524,-2.750612,14,0,51,255,65535,1,status_raw,2
32776,-2.860636,9,0,51,255,65535,1,status_raw,2
34020,-2.970661,3,0,51,255,65535,1,status_raw,2
35269,-3.080685,4094,0,51,255,65535,1,status_raw,2
36525,-3.19071,4087,0,51,255,65535,1,status_raw,2
37770,-3.300734,4082,0,51,255,65535,1,status_raw,2
39019,-3.410759,4076,0,51,255,65535,1,status_raw,2
40270,-3.520783,4095,0,51,255,65535,1,status_raw,2
41524,-3.630808,4065,0,51,255,65535,1,status_raw,2
42769,-3.740832,4060,0,51,255,65535,1,status_raw,2
44020,-3.850857,39,0,51,255,65535,1,status_raw,2
45269,-3.960881,45,0,51,255,65535,1,status_raw,2
46524,-4.070906,49,0,51,255,65535,1,status_raw,2
47769,-4.18093,54,0,51,255,65535,1,status_raw,2
49019,-4.290955,4037,0,51,255,65535,1,status_raw,2
50269,-4.400979,0,0,51,255,65535,1,status_raw,2
51524,-4.511003,4027,0,51,255,65535,1,status_raw,2
52769,-4.621028,4022,0,51,255,65535,1,status_raw,2
54019,-4.731052,4019,0,51,255,65535,1,status_raw,2
55269,-4.841077,4014,0,51,255,65535,1,status_raw,2
56524,-4.951101,4010,0,51,255,65535,1,status_raw,2
57769,-5.061126,4006,0,51,255,65535,1,status_raw,2
59019,-5.17115,4002,0,51,255,65535,1,status_raw,2
60269,-5.281175,0,0,51,255,65535,1,status_raw,2
61524,-5.391199,103,0,51,255,65535,1,status_raw,2
62768,-5.501224,3987,0,51,255,65535,1,status_raw,2
64024,-5.611248,115,0,51,255,65535,1,status_raw,2
65269,-5.721272,0,0,51,255,65535,1,status_raw,2
66523,-5.831297,4095,0,51,255,65535,1,status_raw,2
67775,-5.941321,0,0,51,255,65535,1,status_raw,2
69018,-6.051346,3959,0,51,255,65535,1,status_raw,2
70268,-6.16137,3955,0,51,255,65535,1,status_raw,2
71523,-6.271395,0,0,51,255,65535,1,status_raw,2
72794,-6.381419,3942,0,51,255,65535,1,status_raw,2
74020,-6.491444,3936,0,51,255,65535,1,status_raw,2
75270,-6.601468,3930,0,51,255,65535,1,status_raw,2
76525,-6.711493,3923,0,51,255,65535,1,status_raw,2
77770,-6.821517,3918,0,51,255,65535,1,status_raw,2
79020,-6.931541,3912,0,51,255,65535,1,status_raw,2
80270,-7.041566,3906,0,51,255,65535,1,status_raw,2
81525,-7.15159,193,0,51,255,65535,1,status_raw,2
82770,-7.261615,3896,0,51,255,65535,1,status_raw,2
84020,-7.371639,204,0,51,255,65535,1,status_raw,2
85270,-7.481664,209,0,51,255,65535,1,status_raw,2
86525,-7.591688,0,0,51,255,65535,1,status_raw,2
87770,-7.701713,220,0,51,255,65535,1,status_raw,2
89020,-7.811737,3870,0,51,255,65535,1,status_raw,2
90270,-7.921762,3866,0,51,255,65535,1,status_raw,2
91525,-8.031786,3864,0,51,255,65535,1,status_raw,2
92770,-8.14181,3859,0,51,255,65535,1,status_raw,2
94020,-8.251835,3855,0,51,255,65535,1,status_raw,2
95270,-8.361859,3851,0,51,255,65535,1,status_raw,2
96525,-8.471884,3847,0,51,255,65535,1,status_raw,2
97770,-8.581908,3842,0,51,255,65535,1,status_raw,2
99020,-8.691933,3837,0,51,255,65535,1,status_raw,2
100270,-8.801957,0,0,51,255,65535,1,status_raw,2
101525,-8.911982,4095,0,51,255,65535,1,status_raw,2
102770,-9.022006,3823,0,51,255,65535,1,status_raw,2
104020,-9.13203,277,0,51,255,65535,1,status_raw,2
105270,-9.242055,0,0,51,255,65535,1,status_raw,2
106531,-9.352079,0,0,51,255,65535,1,status_raw,2
107770,-9.462104,0,0,51,255,65535,1,status_raw,2
109020,-9.572128,3797,0,51,255,65535,1,status_raw,2
110270,-9.682153,3791,0,51,255,65535,1,status_raw,2
111525,-9.792177,0,0,51,255,65535,1,status_raw,2
112770,-9.902202,3779,0,51,255,65535,1,status_raw,2
114026,-10.012226,3772,0,51,255,65535,1,status_raw,2
115270,-10.122251,3766,0,51,255,65535,1,status_raw,2
116524,-10.232275,3760,0,51,255,65535,1,status_raw,2
117769,-10.342299,3754,0,51,255,65535,1,status_raw,2
119019,-10.452324,3748,0,51,255,65535,1,status_raw,2
120270,-10.562348,3741,0,51,255,65535,1,status_raw,2
121524,-10.672373,0,0,51,255,65535,1,status_raw,2
