t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
310,0.0,1405,0,51,255,65535,1,status_raw,2
1543,-0.110025,1406,0,51,255,65535,1,status_raw,2
2770,-0.220049,1413,0,51,255,65535,1,status_raw,2
4028,-0.330074,1422,0,51,255,65535,1,status_raw,2
5273,-0.440098,1434,0,51,255,65535,1,status_raw,2
6519,-0.550123,1443,0,51,255,65535,1,status_raw,2
7769,-0.660147,1451,0,51,255,65535,1,status_raw,2
9028,-0.770172,1457,0,51,255,65535,1,status_raw,2
10273,-0.880196,1462,0,51,255,65535,1,status_raw,2
11520,-0.990221,1468,0,51,255,65535,1,status_raw,2
12769,-1.100245,1473,0,51,255,65535,1,status_raw,2
14034,-1.21027,1479,0,51,255,65535,1,status_raw,2
15273,-1.320294,1484,0,51,255,65535,1,status_raw,2
16526,-1.430319,1491,0,51,255,65535,1,status_raw,2
17769,-1.540343,1498,0,51,255,65535,1,status_raw,2
19027,-1.650367,1505,0,51,255,65535,1,status_raw,2
20273,-1.760392,1513,0,51,255,65535,1,status_raw,2
21520,-1.870416,1520,0,51,255,65535,1,status_raw,2
22769,-1.980441,1526,0,51,255,65535,1,status_raw,2
24027,-2.090465,1534,0,51,255,65535,1,status_raw,2
25273,-2.20049,1540,0,51,255,65535,1,status_raw,2
26520,-2.310514,1547,0,51,255,65535,1,status_raw,2
27770,-2.420539,1552,0,51,255,65535,1,status_raw,2
29027,-2.530563,1560,0,51,255,65535,1,status_raw,2
30273,-2.640588,1566,0,51,255,65535,1,status_raw,2
31519,-2.750612,1572,0,51,255,65535,1,status_raw,2
32769,-2.860636,1580,0,51,255,65535,1,status_raw,2
34028,-2.970661,1585,0,51,255,65535,1,status_raw,2
35273,-3.080685,1591,0,51,255,65535,1,status_raw,2
36520,-3.19071,1597,0,51,255,65535,1,status_raw,2
37769,-3.300734,1603,0,51,255,65535,1,status_raw,2
39027,-3.410759,1610,0,51,255,65535,1,status_raw,2
40273,-3.520783,1616,0,51,255,65535,1,status_raw,2
41520,-3.630808,1621,0,51,255,65535,1,status_raw,2
42769,-3.740832,1626,0,51,255,65535,1,status_raw,2
44027,-3.850857,1630,0,51,255,65535,1,status_raw,2
45273,-3.960881,1634,0,51,255,65535,1,status_raw,2
46519,-4.070906,1637,0,51,255,65535,1,status_raw,2
47769,-4.18093,1641,0,51,255,65535,1,status_raw,2
49027,-4.290955,1646,0,51,255,65535,1,status_raw,2
50273,-4.400979,1652,0,51,255,65535,1,status_raw,2
51519,-4.511003,1657,0,51,255,65535,1,status_raw,2
52769,-4.621028,1662,0,51,255,65535,1,status_raw,2
54027,-4.731052,1668,0,51,255,65535,1,status_raw,2
55278,-4.841077,1674,0,51,255,65535,1,status_raw,2
56519,-4.951101,1677,0,51,255,65535,1,status_raw,2
57769,-5.061126,1682,0,51,255,65535,1,status_raw,2
59027,-5.17115,1685,0,51,255,65535,1,status_raw,2
60272,-5.281175,1689,0,51,255,65535,1,status_raw,2
