t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,diag_enabled,turns
162757,-14.30318,0,0,255,255,65535,0,2
164007,-14.413204,534,0,255,255,65535,0,2
165284,-14.523229,539,0,255,255,65535,0,2
166519,-14.633253,0,0,255,255,65535,0,2
167757,-14.743278,549,0,255,255,65535,0,2
169007,-14.853302,554,0,255,255,65535,0,2
170284,-14.963326,559,0,255,255,65535,0,2
171519,-15.073351,563,0,255,255,65535,0,2
172757,-15.183375,567,0,255,255,65535,0,2
174007,-15.2934,570,0,255,255,65535,0,2
175284,-15.403424,575,0,255,255,65535,0,2
176519,-15.513449,579,0,255,255,65535,0,2
177757,-15.623473,584,0,255,255,65535,0,2
179007,-15.733498,587,0,255,255,65535,0,2
180284,-15.843522,592,0,255,255,65535,0,2
181523,-15.953547,597,0,255,255,65535,0,2
182757,-16.063572,601,0,255,255,65535,0,2
184007,-16.173597,607,0,255,255,65535,0,2
185284,-16.283623,612,0,255,255,65535,0,2
186520,-16.393648,618,0,255,255,65535,0,2
187757,-16.503674,623,0,255,255,65535,0,2
189007,-16.613699,629,0,255,255,65535,0,2
190284,-16.723724,634,0,255,255,65535,0,2
191519,-16.83375,640,0,255,255,65535,0,2
192756,-16.943775,645,0,255,255,65535,0,2
194007,-17.053801,652,0,255,255,65535,0,2
195283,-17.163826,658,0,255,255,65535,0,2
196519,-17.273851,665,0,255,255,65535,0,2
197757,-17.383877,671,0,255,255,65535,0,2
199007,-17.493902,676,0,255,255,65535,0,2
200283,-17.603928,682,0,255,255,65535,0,2
201519,-17.713953,687,0,255,255,65535,0,2
202756,-17.823978,693,0,255,255,65535,0,2
204013,-17.934004,0,0,255,255,65535,0,2
205283,-18.044029,705,0,255,255,65535,0,2
206519,-18.154055,709,0,255,255,65535,0,2
207756,-18.26408,715,0,255,255,65535,0,2
209006,-18.374105,718,0,255,255,65535,0,2
210283,-18.484131,723,0,255,255,65535,0,2
211519,-18.594156,728,0,255,255,65535,0,2
212756,-18.704182,732,0,255,255,65535,0,2
214012,-18.814207,737,0,255,255,65535,0,2
215284,-18.924232,742,0,255,255,65535,0,2
216520,-19.034258,746,0,255,255,65535,0,2
217757,-19.144283,751,0,255,255,65535,0,2
219007,-19.254309,756,0,255,255,65535,0,2
220284,-19.364334,760,0,255,255,65535,0,2
221520,-19.47436,764,0,255,255,65535,0,2
222757,-19.584385,769,0,255,255,65535,0,2
224007,-19.69441,0,0,255,255,65535,0,2
225284,-19.804436,778,0,255,255,65535,0,2
226519,-19.914461,783,0,255,255,65535,0,2
227757,-20.024487,789,0,255,255,65535,0,2
229007,-20.134512,794,0,255,255,65535,0,2
230284,-20.244537,800,0,255,255,65535,0,2
231519,-20.354563,806,0,255,255,65535,0,2
232757,-20.464588,811,0,255,255,65535,0,2
234007,-20.574614,817,0,255,255,65535,0,2
235283,-20.684639,822,0,255,255,65535,0,2
236519,-20.794664,828,0,255,255,65535,0,2
237757,-20.90469,834,0,255,255,65535,0,2
239014,-21.014715,840,0,255,255,65535,0,2
240284,-21.124741,846,0,255,255,65535,0,2
241523,-21.234766,0,0,255,255,65535,0,2
242757,-21.344791,858,0,255,255,65535,0,2
244013,-21.454817,863,0,255,255,65535,0,2
245284,-21.564842,869,0,255,255,65535,0,2
246519,-21.674868,874,0,255,255,65535,0,2
247757,-21.784893,878,0,255,255,65535,0,2
249007,-21.894918,883,0,255,255,65535,0,2
250284,-22.004944,888,0,255,255,65535,0,2
251519,-22.114969,893,0,255,255,65535,0,2
252757,-22.224995,899,0,255,255,65535,0,2
254007,-22.33502,904,0,255,255,65535,0,2
255284,-22.445045,909,0,255,255,65535,0,2
256523,-22.555071,913,0,255,255,65535,0,2
257757,-22.665096,918,0,255,255,65535,0,2
259013,-22.775122,923,0,255,255,65535,0,2
260283,-22.885147,926,0,255,255,65535,0,2
261519,-22.995173,931,0,255,255,65535,0,2
262757,-23.105198,935,0,255,255,65535,0,2
264007,-23.215223,940,0,255,255,65535,0,2
265284,-23.325249,945,0,255,255,65535,0,2
266519,-23.435274,950,0,255,255,65535,0,2
267756,-23.5453,955,0,255,255,65535,0,2
269007,-23.655325,960,0,255,255,65535,0,2
270283,-23.76535,964,0,255,255,65535,0,2
271519,-23.875376,970,0,255,255,65535,0,2
272757,-23.985401,974,0,255,255,65535,0,2
274007,-24.095427,981,0,255,255,65535,0,2
275283,-24.205452,986,0,255,255,65535,0,2
276519,-24.315477,992,0,255,255,65535,0,2
277756,-24.425503,997,0,255,255,65535,0,2
279006,-24.535528,1004,0,255,255,65535,0,2
280283,-24.645554,1009,0,255,255,65535,0,2
281519,-24.755579,1014,0,255,255,65535,0,2
282756,-24.865604,4095,0,255,255,65535,0,2
284006,-24.97563,1025,0,255,255,65535,0,2
285283,-25.085655,2048,0,255,255,65535,0,2
286519,-25.195681,1037,0,255,255,65535,0,2
287757,-25.305706,1044,0,255,255,65535,0,2
289007,-25.415731,1048,0,255,255,65535,0,2
290284,-25.525757,1054,0,255,255,65535,0,2
291519,-25.635782,1059,0,255,255,65535,0,2
292757,-25.745808,1064,0,255,255,65535,0,2
294007,-25.855833,1069,0,255,255,65535,0,2
295284,-25.965858,1074,0,255,255,65535,0,2
296524,-26.075884,1078,0,255,255,65535,0,2
297757,-26.185909,1083,0,255,255,65535,0,2
299007,-26.295935,1088,0,255,255,65535,0,2
300284,-26.40596,1093,0,255,255,65535,0,2
301519,-26.515985,1097,0,255,255,65535,0,2
302757,-26.626011,2993,0,255,255,65535,0,2
304007,-26.736036,1105,0,255,255,65535,0,2
305284,-26.846062,1109,0,255,255,65535,0,2
306520,-26.956087,1113,0,255,255,65535,0,2
307764,-27.066113,1117,0,255,255,65535,0,2
309007,-27.176138,1123,0,255,255,65535,0,2
310284,-27.286163,1127,0,255,255,65535,0,2
311520,-27.396189,1132,0,255,255,65535,0,2
312757,-27.506214,1137,0,255,255,65535,0,2
314007,-27.61624,1144,0,255,255,65535,0,2
315284,-27.726265,1149,0,255,255,65535,0,2
316519,-27.83629,1154,0,255,255,65535,0,2
317757,-27.946316,1159,0,255,255,65535,0,2
319007,-28.056341,1165,0,255,255,65535,0,2
320284,-28.166367,1170,0,255,255,65535,0,2
321519,-28.276392,1176,0,255,255,65535,0,2
322757,-28.386417,1182,0,255,255,65535,0,2
324007,-28.496443,1188,0,255,255,65535,0,2
325284,-28.606468,1195,0,255,255,65535,0,2
326519,-28.716494,1201,0,255,255,65535,0,2
327764,-28.826519,1207,0,255,255,65535,0,2
329007,-28.936544,1212,0,255,255,65535,0,2
330284,-29.04657,1218,0,255,255,65535,0,2
331523,-29.156595,1223,0,255,255,65535,0,2
332756,-29.266621,1228,0,255,255,65535,0,2
334007,-29.376646,1233,0,255,255,65535,0,2
335283,-29.486671,1239,0,255,255,65535,0,2
336519,-29.596697,1244,0,255,255,65535,0,2
337757,-29.706722,1249,0,255,255,65535,0,2
339007,-29.816748,1253,0,255,255,65535,0,2
340283,-29.926773,2047,0,255,255,65535,0,2
341519,-30.036798,1261,0,255,255,65535,0,2
342757,-30.146824,2048,0,255,255,65535,0,2
344007,-30.256849,1269,0,255,255,65535,0,2
345283,-30.366875,1273,0,255,255,65535,0,2
346519,-30.4769,1277,0,255,255,65535,0,2
347756,-30.586926,1281,0,255,255,65535,0,2
349006,-30.696951,1286,0,255,255,65535,0,2
350283,-30.806976,1290,0,255,255,65535,0,2
351519,-30.917002,1295,0,255,255,65535,0,2
