t_us,openloop_el_angle_rad,sensor_raw,sensor_error,status,agc,magnitude,mode,mode_label,turns
655,0.0,2504,0,51,128,1475,3,status_raw_agc_mag,2
1906,-0.110025,1590,0,51,128,1476,3,status_raw_agc_mag,2
3123,-0.220049,1587,0,51,128,1477,3,status_raw_agc_mag,2
4357,-0.330074,1583,0,51,128,1477,3,status_raw_agc_mag,2
5606,-0.440098,1578,0,51,128,1475,3,status_raw_agc_mag,2
6875,-0.550123,1574,0,51,128,1477,3,status_raw_agc_mag,2
8123,-0.660147,1569,0,51,128,1475,3,status_raw_agc_mag,2
9357,-0.770172,1564,0,51,128,1476,3,status_raw_agc_mag,2
10625,-0.880196,1558,0,51,128,1477,3,status_raw_agc_mag,2
11875,-0.990221,1554,0,51,128,1476,3,status_raw_agc_mag,2
13115,-1.100245,1547,0,51,128,1476,3,status_raw_agc_mag,2
14357,-1.21027,1541,0,51,128,1475,3,status_raw_agc_mag,2
15606,-1.320294,1535,0,51,128,1476,3,status_raw_agc_mag,2
16875,-1.430319,1530,0,51,128,1475,3,status_raw_agc_mag,2
18123,-1.540343,1525,0,51,128,1475,3,status_raw_agc_mag,2
19363,-1.650367,1520,0,51,128,1475,3,status_raw_agc_mag,2
20606,-1.760392,1515,0,51,128,1475,3,status_raw_agc_mag,2
21875,-1.870416,1511,0,51,128,1477,3,status_raw_agc_mag,2
23121,-1.980441,1506,0,51,128,1477,3,status_raw_agc_mag,2
24363,-2.090465,1502,0,51,128,1475,3,status_raw_agc_mag,2
25606,-2.20049,1497,0,51,128,1475,3,status_raw_agc_mag,2
26875,-2.310514,1493,0,51,128,1477,3,status_raw_agc_mag,2
28115,-2.420539,1488,0,51,128,1476,3,status_raw_agc_mag,2
29357,-2.530563,1484,0,51,128,1475,3,status_raw_agc_mag,2
30606,-2.640588,1480,0,51,128,1475,3,status_raw_agc_mag,2
31875,-2.750612,1477,0,51,128,1476,3,status_raw_agc_mag,2
33115,-2.860636,1472,0,51,128,1476,3,status_raw_agc_mag,2
34363,-2.970661,1468,0,51,128,1476,3,status_raw_agc_mag,2
35606,-3.080685,1464,0,51,128,1478,3,status_raw_agc_mag,2
36862,-3.19071,1460,0,51,128,1477,3,status_raw_agc_mag,2
38121,-3.300734,1455,0,51,128,1476,3,status_raw_agc_mag,2
39357,-3.410759,1451,0,51,128,1475,3,status_raw_agc_mag,2
40606,-3.520783,1445,0,51,128,1477,3,status_raw_agc_mag,2
41875,-3.630808,1440,0,51,128,1476,3,status_raw_agc_mag,2
43122,-3.740832,1434,0,51,128,1476,3,status_raw_agc_mag,2
44357,-3.850857,1429,0,51,128,1478,3,status_raw_agc_mag,2
45624,-3.960881,1424,0,51,128,1476,3,status_raw_agc_mag,2
46874,-4.070906,1418,0,51,128,1476,3,status_raw_agc_mag,2
48115,-4.18093,1413,0,51,128,1477,3,status_raw_agc_mag,2
49356,-4.290955,1406,0,51,128,1475,3,status_raw_agc_mag,2
50605,-4.400979,1400,0,51,128,1476,3,status_raw_agc_mag,2
51874,-4.511003,1393,0,51,128,1475,3,status_raw_agc_mag,2
53115,-4.621028,1387,0,51,128,1477,3,status_raw_agc_mag,2
54357,-4.731052,1382,0,51,128,1476,3,status_raw_agc_mag,2
55605,-4.841077,1375,0,51,128,1476,3,status_raw_agc_mag,2
56874,-4.951101,1370,0,51,128,1476,3,status_raw_agc_mag,2
58115,-5.061126,1364,0,51,128,1477,3,status_raw_agc_mag,2
59356,-5.17115,1358,0,51,128,1476,3,status_raw_agc_mag,2
60606,-5.281175,1353,0,51,128,1476,3,status_raw_agc_mag,2
61874,-5.391199,1347,0,51,128,1477,3,status_raw_agc_mag,2
63114,-5.501224,1342,0,51,128,1475,3,status_raw_agc_mag,2
64361,-5.611248,1337,0,51,128,1476,3,status_raw_agc_mag,2
65605,-5.721272,1333,0,51,128,1477,3,status_raw_agc_mag,2
66874,-5.831297,1329,0,51,128,1475,3,status_raw_agc_mag,2
68114,-5.941321,1324,0,51,128,1476,3,status_raw_agc_mag,2
69355,-6.051346,1320,0,51,128,1477,3,status_raw_agc_mag,2
70623,-6.16137,1315,0,51,128,1477,3,status_raw_agc_mag,2
71874,-6.271395,1311,0,51,128,1476,3,status_raw_agc_mag,2
73147,-6.381419,1305,0,51,128,1477,3,status_raw_agc_mag,2
74363,-6.491444,1300,0,51,128,1476,3,status_raw_agc_mag,2
75631,-6.601468,1295,0,51,128,1477,3,status_raw_agc_mag,2
76875,-6.711493,1291,0,51,128,1476,3,status_raw_agc_mag,2
78115,-6.821517,1287,0,51,128,1477,3,status_raw_agc_mag,2
79357,-6.931541,1282,0,51,128,1477,3,status_raw_agc_mag,2
80613,-7.041566,1278,0,51,128,1477,3,status_raw_agc_mag,2
81875,-7.15159,1273,0,51,128,1477,3,status_raw_agc_mag,2
83115,-7.261615,1268,0,51,128,1478,3,status_raw_agc_mag,2
84357,-7.371639,1263,0,51,128,1477,3,status_raw_agc_mag,2
85605,-7.481664,1257,0,51,128,1478,3,status_raw_agc_mag,2
86875,-7.591688,1252,0,51,128,1478,3,status_raw_agc_mag,2
88116,-7.701713,1246,0,51,128,1477,3,status_raw_agc_mag,2
89363,-7.811737,1240,0,51,128,1478,3,status_raw_agc_mag,2
90625,-7.921762,1235,0,51,128,1477,3,status_raw_agc_mag,2
91863,-8.031786,1229,0,51,128,1478,3,status_raw_agc_mag,2
93115,-8.14181,1223,0,51,128,1479,3,status_raw_agc_mag,2
94357,-8.251835,1217,0,51,128,1478,3,status_raw_agc_mag,2
95613,-8.361859,1211,0,51,128,1479,3,status_raw_agc_mag,2
96875,-8.471884,1205,0,51,128,1478,3,status_raw_agc_mag,2
98115,-8.581908,1200,0,51,128,1479,3,status_raw_agc_mag,2
99357,-8.691933,1194,0,51,128,1479,3,status_raw_agc_mag,2
100613,-8.801957,1189,0,51,128,1478,3,status_raw_agc_mag,2
101875,-8.911982,1184,0,51,128,1478,3,status_raw_agc_mag,2
103122,-9.022006,1179,0,51,128,1477,3,status_raw_agc_mag,2
104357,-9.13203,1174,0,51,128,1478,3,status_raw_agc_mag,2
105625,-9.242055,1168,0,51,128,1478,3,status_raw_agc_mag,2
106875,-9.352079,1164,0,51,128,1478,3,status_raw_agc_mag,2
108115,-9.462104,1159,0,51,128,1478,3,status_raw_agc_mag,2
109357,-9.572128,1153,0,51,128,1479,3,status_raw_agc_mag,2
110625,-9.682153,1147,0,51,128,1479,3,status_raw_agc_mag,2
111875,-9.792177,1143,0,51,128,1480,3,status_raw_agc_mag,2
113123,-9.902202,1138,0,51,128,1480,3,status_raw_agc_mag,2
114363,-10.012226,1133,0,51,128,1479,3,status_raw_agc_mag,2
115613,-10.122251,1130,0,51,128,1478,3,status_raw_agc_mag,2
116874,-10.232275,1125,0,51,128,1479,3,status_raw_agc_mag,2
118123,-10.342299,1120,0,51,128,1479,3,status_raw_agc_mag,2
119357,-10.452324,1116,0,51,128,1480,3,status_raw_agc_mag,2
120606,-10.562348,1111,0,51,128,1480,3,status_raw_agc_mag,2
121875,-10.672373,1107,0,51,128,1480,3,status_raw_agc_mag,2
123115,-10.782397,1102,0,51,128,1479,3,status_raw_agc_mag,2
124357,-10.892422,1096,0,51,128,1478,3,status_raw_agc_mag,2
125606,-11.002446,1091,0,51,128,1479,3,status_raw_agc_mag,2
