run_id,test_name,t_s,seq,dial_id,target_deg,angle_deg,error_deg,speed_deg_s,torque_ma,foc_rate_hz,status_bits
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.0,1009,0,180.0,-1.8,-181.8,-105.6,8000,1005,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.0,1009,0,180.0,-0.8,-180.8,16.8,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.016,1009,0,180.0,1.9,-178.1,215.2,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.016,1009,0,180.0,5.3,-174.7,380.9,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.016,1009,0,180.0,9.2,-170.8,525.0,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.032,1009,0,180.0,12.5,-167.5,597.8,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.032,1009,0,180.0,16.7,-163.3,661.5,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.032,1009,0,180.0,20.0,-160.0,687.9,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.047,1009,0,180.0,24.1,-155.9,704.5,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.047,1009,0,180.0,27.4,-152.6,714.3,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.047,1009,0,180.0,31.2,-148.8,711.2,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.063,1009,0,180.0,34.3,-145.7,707.3,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.063,1009,0,180.0,38.1,-141.9,706.5,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.063,1009,0,180.0,41.9,-138.1,701.9,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.078,1009,0,180.0,45.1,-134.9,700.0,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.078,1009,0,180.0,48.3,-131.7,699.6,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.078,1009,0,180.0,52.0,-128.0,689.6,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.094,1009,0,180.0,55.7,-124.3,687.7,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.094,1009,0,180.0,58.7,-121.3,685.1,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.094,1009,0,180.0,62.4,-117.6,685.2,8000,925,1
tracking_tune_20260607_074135,tracking_0.5turn_pos,0.11,1009,0,180.0,65.5,-114.5,685.6,8000,925,1
