run_id,test_name,t_s,seq,dial_id,target_deg,angle_deg,error_deg,speed_deg_s,torque_ma,foc_rate_hz,status_bits
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.016,1009,0,180.0,-1.8,-181.8,-186.3,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.016,1009,0,180.0,-1.9,-181.9,-147.5,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.016,1009,0,180.0,-0.4,-180.4,27.8,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.031,1009,0,180.0,2.2,-177.8,215.4,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.031,1009,0,180.0,5.4,-174.6,379.5,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.031,1009,0,180.0,8.6,-171.4,499.5,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.031,1009,0,180.0,12.7,-167.3,607.8,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.047,1009,0,180.0,16.6,-163.4,663.0,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.047,1009,0,180.0,20.0,-160.0,698.8,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.047,1009,0,180.0,24.1,-155.9,730.7,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.062,1009,0,180.0,28.1,-151.9,743.4,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.062,1009,0,180.0,31.9,-148.1,742.9,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.062,1009,0,180.0,35.8,-144.2,746.3,8000,1030,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.078,1009,0,180.0,39.0,-141.0,747.9,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.078,1009,0,180.0,43.1,-136.9,750.1,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.078,1009,0,180.0,47.0,-133.0,749.7,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.094,1009,0,180.0,50.2,-129.8,742.2,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.094,1009,0,180.0,54.1,-125.9,738.2,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.094,1009,0,180.0,57.8,-122.2,736.7,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.109,1009,0,180.0,61.6,-118.4,733.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.109,1009,0,180.0,64.7,-115.3,727.1,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.109,1009,0,180.0,68.6,-111.4,724.2,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.125,1009,0,180.0,72.4,-107.6,724.8,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.125,1009,0,180.0,75.5,-104.5,719.4,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.125,1009,0,180.0,79.2,-100.8,707.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.141,1009,0,180.0,82.8,-97.2,705.8,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.141,1009,0,180.0,86.3,-93.7,694.7,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.141,1009,0,180.0,89.3,-90.7,693.7,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.156,1009,0,180.0,92.9,-87.1,685.1,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.156,1009,0,180.0,96.4,-83.6,674.5,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.156,1009,0,180.0,99.3,-80.7,671.4,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.172,1009,0,180.0,102.9,-77.1,673.1,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.172,1009,0,180.0,106.3,-73.7,660.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.172,1009,0,180.0,109.5,-70.5,648.1,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.172,1009,0,180.0,112.4,-67.6,658.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.187,1009,0,180.0,115.8,-64.2,653.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.187,1009,0,180.0,119.4,-60.6,654.3,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.187,1009,0,180.0,122.2,-57.8,647.6,8000,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.203,1009,0,180.0,125.7,-54.3,652.0,7561,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.203,1009,0,180.0,129.3,-50.7,662.8,7058,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.203,1009,0,180.0,132.0,-48.0,657.4,6677,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.219,1009,0,180.0,135.3,-44.7,648.2,6224,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.219,1009,0,180.0,138.7,-41.3,655.8,5745,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.219,1009,0,180.0,142.1,-37.9,654.8,5266,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.234,1009,0,180.0,144.8,-35.2,644.9,4886,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.234,1009,0,180.0,148.1,-31.9,625.7,4433,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.234,1009,0,180.0,150.9,-29.1,585.5,4042,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.25,1009,0,180.0,153.0,-27.0,549.3,3748,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.25,1009,0,180.0,155.5,-24.5,513.5,3406,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.25,1009,0,180.0,157.5,-22.5,467.3,3125,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.266,1009,0,180.0,159.3,-20.7,424.4,2869,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.266,1009,0,180.0,160.7,-19.3,384.3,2686,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.266,1009,0,180.0,162.2,-17.8,350.6,2467,930,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.281,1009,0,180.0,163.6,-16.4,313.2,2284,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.281,1009,0,180.0,164.7,-15.3,278.3,2126,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.281,1009,0,180.0,165.3,-14.7,234.1,2041,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.281,1009,0,180.0,166.0,-14.0,192.0,1945,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.297,1009,0,180.0,166.7,-13.3,168.1,1847,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.297,1009,0,180.0,167.3,-12.7,153.0,1774,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.297,1009,0,180.0,167.7,-12.3,123.0,1714,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.312,1009,0,180.0,168.2,-11.8,112.8,1640,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.312,1009,0,180.0,168.4,-11.6,87.7,1617,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.312,1009,0,180.0,168.7,-11.3,71.2,1581,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.328,1009,0,180.0,168.9,-11.1,63.7,1544,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.328,1009,0,180.0,169.1,-10.9,57.6,1520,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.328,1009,0,180.0,169.2,-10.8,41.4,1508,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.344,1009,0,180.0,169.4,-10.6,37.9,1484,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.344,1009,0,180.0,169.5,-10.5,39.5,1459,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.344,1009,0,180.0,169.7,-10.3,36.5,1435,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.359,1009,0,180.0,169.9,-10.1,35.8,1410,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.359,1009,0,180.0,170.0,-10.0,31.7,1398,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.359,1009,0,180.0,170.1,-9.9,25.5,1386,945,1
tracking_tune_20260607_085352,tracking_0.5turn_pos,0.375,1009,0,180.0,170.2,-9.8,23.2,1374,945,1
